date,chain,layer,defillama_slug,source,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,chainId,tvl_min,tvl_last,tvl_mean,distinct_protocol_min,distinct_protocol_last,distinct_protocol_mean,distinct_parent_protocol_min,distinct_parent_protocol_last,distinct_parent_protocol_mean,sum_token_value_usd_flow_sum,sum_token_value_usd_price_change_sum
2018-04-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,400585.0992127101,436194.969783108,418344.60343278846,,,,,,,0.0,0.0
2018-05-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,333481.35067272844,377763.7428616434,475459.3919679704,,,,,,,0.0,0.0
2018-06-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,311769.1654377772,345806.85898282356,360080.87106647517,,,,,,,0.0,0.0
2018-07-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,322134.8901482267,322134.8901482267,353434.17239555134,,,,,,,0.0,0.0
2018-08-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,242300.67608453683,1178640.769005294,1112247.2961175784,,,,,,,0.0,0.0
2018-09-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,340529.606227078,3784471.065135547,1287889.3194449989,,,,,,,0.0,0.0
2018-10-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,2875060.662198431,3912717.3043807964,4505793.23531428,,,,,,,0.0,0.0
2018-11-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,2213633.5610149843,6418273.471890554,4584201.470664336,,,,,,,0.0,0.0
2018-12-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,2968926.2427646215,3802744.4195126975,4792221.762929271,,,,,,,0.0,0.0
2019-01-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,4008486.202578195,228666577.29345602,232450783.53532246,,,,,,,0.0,0.0
2019-02-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,223333681.33795673,310014164.0740384,278057752.98403937,,,,,,,0.0,0.0
2019-03-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,288680650.23027086,333460244.3267265,318669335.42875665,,,,,,,0.0,0.0
2019-04-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,330978254.0738635,360859250.5830235,382790288.1043084,,,,,,,0.0,0.0
2019-05-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,360919178.53992057,464900287.57859576,439799726.352701,,,,,,,0.0,0.0
2019-06-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,445448012.0656851,524027832.9805382,497380275.7687172,,,,,,,0.0,0.0
2019-07-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,399934410.87550837,408448444.6370115,463574703.3001328,,,,,,,0.0,0.0
2019-08-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,405559306.8084998,412283215.6371492,425846705.18257284,,,,,,,0.0,0.0
2019-09-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,412015990.00080407,452169043.5717158,459303906.3093551,,,,,,,0.0,0.0
