date,tvl,chain,defillama_slug,source,statusCode,body,headers,distinct_protocol,distinct_parent_protocol,sum_token_value_usd_flow,sum_token_value_usd_price_change,avg_usd_tvl,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,is_EVM,is_Rollup,chainId,layer
2023-10-03,639716246.9683286,OP Mainnet,Optimism,chain,,,,171.0,157.0,263521.6205191446,-16328447.001979144,4556923.390482983,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-04,643094265.9867505,OP Mainnet,Optimism,chain,,,,171.0,157.0,-5305119.042599274,-10257457.44412075,4465914.171252573,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-05,630064655.7958239,OP Mainnet,Optimism,chain,,,,171.0,157.0,-491414.10570033494,4125286.76998036,4487164.888597251,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-06,636497298.7952623,OP Mainnet,Optimism,chain,,,,171.0,157.0,-3976632.549413377,-9956540.704356607,4405684.343248596,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-07,633047699.0282174,OP Mainnet,Optimism,chain,,,,171.0,157.0,-1291066.330838718,9189070.858478699,4451871.504238011,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-08,630695319.6404641,OP Mainnet,Optimism,chain,,,,171.0,157.0,-42474.06655482771,-3582829.848335166,4430670.896548012,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-09,615796073.894114,OP Mainnet,Optimism,chain,,,,174.0,160.0,-886565.8461640911,-1999758.1242959048,4226836.82650184,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-10,610465419.2115507,OP Mainnet,Optimism,chain,,,,174.0,160.0,-3286708.8502437784,-13142672.821566228,4132415.0927477013,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-11,596537638.1751752,OP Mainnet,Optimism,chain,,,,174.0,160.0,-4280507.239627294,-3087774.639012709,4195202.118841264,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-12,583113304.8603983,OP Mainnet,Optimism,chain,,,,174.0,160.0,-13864700.253600324,-2684999.1597696915,4003772.249412989,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-13,584419528.5334723,OP Mainnet,Optimism,chain,,,,169.0,156.0,-11796854.300777406,-9521496.603932591,3967216.9272699407,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-14,581876370.8873487,OP Mainnet,Optimism,chain,,,,170.0,157.0,3827200.609068175,2695976.2078818185,4115371.2107341764,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-15,584933173.728898,OP Mainnet,Optimism,chain,,,,169.0,156.0,-1931227.0865705532,-1461975.0902694536,4001698.71448142,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-16,599758191.5030532,OP Mainnet,Optimism,chain,,,,171.0,157.0,-342384.47690288804,3164936.333992896,4087983.6904068417,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-17,593092871.4646089,OP Mainnet,Optimism,chain,,,,170.0,156.0,-422709.2656076856,11808219.663827691,4066039.558077471,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-18,591096195.8106835,OP Mainnet,Optimism,chain,,,,170.0,156.0,-6243567.949960471,-4292126.051699512,4004070.3302292945,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-19,588785016.9213655,OP Mainnet,Optimism,chain,,,,171.0,157.0,-1105768.4985942272,-2741626.5809657876,4070459.4014553213,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-20,597616777.1319836,OP Mainnet,Optimism,chain,,,,169.0,155.0,-3801483.0695951744,-386806.52912481857,3951157.959711953,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-21,606500194.6065543,OP Mainnet,Optimism,chain,,,,169.0,155.0,-239714.18887308578,12094120.778713087,4021302.3774246154,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-22,614084543.1435864,OP Mainnet,Optimism,chain,,,,170.0,155.0,-2963473.540051658,12212862.945181647,4050391.713672588,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-23,635236685.0849936,OP Mainnet,Optimism,chain,,,,172.0,157.0,9591147.688027697,8091208.241892302,4246297.581175813,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-24,631960372.8602548,OP Mainnet,Optimism,chain,,,,172.0,157.0,-5300595.574278813,30644864.273148827,4241860.185313314,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-25,641286811.4469249,OP Mainnet,Optimism,chain,,,,173.0,158.0,-5351076.915228415,2582752.466668416,4216861.502108382,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-26,640672595.5623511,OP Mainnet,Optimism,chain,,,,175.0,159.0,-1622534.5827621964,12034518.859362194,4377506.001210171,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-27,637790948.3675236,OP Mainnet,Optimism,chain,,,,175.0,159.0,5937955.15963324,-7285994.10267326,4369802.922001486,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-28,639635195.3619164,OP Mainnet,Optimism,chain,,,,174.0,158.0,672899.8635117364,-4503859.389351711,4218009.911984713,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-29,647258561.0172418,OP Mainnet,Optimism,chain,,,,176.0,160.0,821812.8969574404,865061.4590625499,4336292.222363637,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-30,649800096.1576654,OP Mainnet,Optimism,chain,,,,175.0,159.0,4057198.703914302,3525345.4098957027,4247781.128756971,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-10-31,646470184.1733117,OP Mainnet,Optimism,chain,,,,179.0,163.0,-792012.4260796839,5163004.243729656,4350094.633775922,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-11-01,659168223.7056191,OP Mainnet,Optimism,chain,,,,176.0,160.0,5750711.471922522,-7148664.820702503,4252550.512705909,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-11-02,640576955.5363343,OP Mainnet,Optimism,chain,,,,179.0,163.0,483232.0189112263,12678752.174068782,4415820.630046592,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-11-03,655730026.7213846,OP Mainnet,Optimism,chain,,,,179.0,163.0,-16630626.637031885,-10970988.955248091,4261621.660245642,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
2023-11-04,666720953.4361453,OP Mainnet,Optimism,chain,,,,179.0,163.0,8845736.706904113,10952170.468095852,4372219.34755486,True,10,modern,OP Chain,op,OP Mainnet,True,True,10,L2
