blockchain,chain_type,classification,dt,eth_fees,eth_fees_success,gas_used,gas_used_success,name,num_senders,num_txs,num_txs_success,last_updated
l2s,Aggregated,Volume too Low,2024-05-07 00:00:00.000 UTC,21.757406298955164,21.043275627370274,170014738659,167015250703,L2s,719414,1351091,1331796,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-05-31 00:00:00.000 UTC,14.676080606931263,13.54924424400225,193109434535,189299325692,L2s,965371,1622218,1599681,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-05-09 00:00:00.000 UTC,19.346990001781883,18.78710527792227,155492015745,152883177351,L2s,618618,1198453,1183432,2024-09-23 01:00:22.401524
l2s,Aggregated,Likely Sybil,2024-08-14 00:00:00.000 UTC,27.443836063961722,21.466971767266696,233224990701,215336811589,L2s,169791,1190439,1037294,2024-09-23 01:00:22.401524
l2s,Aggregated,Likely Sybil,2024-04-19 00:00:00.000 UTC,66.86083196386998,51.08256219080452,110030938672,90664566501,L2s,56591,781489,628623,2024-09-23 01:00:22.401524
l2s,Aggregated,Likely Sybil,2024-06-12 00:00:00.000 UTC,29.30338057208099,19.920815753637854,124990000786,116142453322,L2s,222820,905985,828315,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-07-29 00:00:00.000 UTC,237.511898762138,201.213462585307,131466166347,123840596621,L2s,685986,1135748,1047780,2024-09-23 01:00:22.401524
l2s,Aggregated,Potential Non-Sybil,2024-09-22 00:00:00.000 UTC,52724.91387625755,42387.416350871084,1108961289890,1066498375121,L2s,397376,4041967,3758693,2024-09-23 01:00:22.401524
l2s,Aggregated,Likely Sybil,2024-07-09 00:00:00.000 UTC,21.262410345853443,15.95674682152661,175290083635,162646697917,L2s,227979,1174742,1059395,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-03-30 00:00:00.000 UTC,96.07178450830263,91.68489815047201,235323951217,228452301785,L2s,672574,1570408,1538777,2024-09-23 01:00:22.401524
l2s,Aggregated,Potential Non-Sybil,2024-04-03 00:00:00.000 UTC,994.389275100197,954.2556565619224,2032593864266,1960649761578,L2s,1037688,8542642,7870118,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-08-19 00:00:00.000 UTC,2.245556601529325,2.2083931331457944,129648182952,127105724229,L2s,739480,1220504,1196405,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-08-21 00:00:00.000 UTC,3.162808745511848,3.112062527825736,147706069865,144849299142,L2s,839902,1326406,1305651,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-03-28 00:00:00.000 UTC,90.22568416659168,86.81526072427974,233939045450,227498231687,L2s,555540,1373216,1345769,2024-09-23 01:00:22.401524
l2s,Aggregated,Likely Sybil,2024-08-07 00:00:00.000 UTC,54.800682010287964,40.22472689219822,325469707513,297859222222,L2s,139051,1275996,1053735,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-05-29 00:00:00.000 UTC,18.310826920974506,17.952729302039703,189245289538,185317822186,L2s,1058621,1852916,1827581,2024-09-23 01:00:22.401524
l2s,Aggregated,Potential Non-Sybil,2024-07-07 00:00:00.000 UTC,22262.867457819924,20039.128183259574,1164859150051,1112936989484,L2s,708997,4394522,4099382,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-07-14 00:00:00.000 UTC,5.47601891282308,5.406233697032051,149203424049,147914606346,L2s,645085,1188047,1176031,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-04-26 00:00:00.000 UTC,32.50071852834366,31.628915882462657,154149061657,149082855284,L2s,463266,975159,954266,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-04-16 00:00:00.000 UTC,30.227703622695948,28.742624201836513,145928696815,139773177028,L2s,463547,990311,961780,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-05-16 00:00:00.000 UTC,15.351727019681949,15.066656412719386,232174137838,229671358420,L2s,1179622,1807526,1787383,2024-09-23 01:00:22.401524
l2s,Aggregated,Likely Sybil,2024-05-01 00:00:00.000 UTC,54.906612110071386,41.46343736530905,144204500722,126759064391,L2s,62879,729439,589505,2024-09-23 01:00:22.401524
l2s,Aggregated,Potential Non-Sybil,2024-09-06 00:00:00.000 UTC,65711.35559354881,53743.22110934864,1253366646383,1169731547272,L2s,400529,5270622,4719412,2024-09-23 01:00:22.401524
l2s,Aggregated,Potential Non-Sybil,2024-04-29 00:00:00.000 UTC,280.1662103933226,262.6098984162021,1160376398061,1110753481896,L2s,633563,4831279,4489084,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-08-05 00:00:00.000 UTC,20.64484760296144,19.046150824253793,66881438912,64002569373,L2s,437218,617234,606689,2024-09-23 01:00:22.401524
l2s,Aggregated,Likely Sybil,2024-05-26 00:00:00.000 UTC,24.0057264958365,22.24695516792902,159358680980,153268715396,L2s,169376,634669,569569,2024-09-23 01:00:22.401524
l2s,Aggregated,Likely Sybil,2024-08-13 00:00:00.000 UTC,36.95895816337239,27.767975220827566,225292599484,211647236149,L2s,167746,1218608,1109873,2024-09-23 01:00:22.401524
l2s,Aggregated,Likely Sybil,2024-07-23 00:00:00.000 UTC,57.66340907414203,36.45264452543076,332538539804,314565444427,L2s,201469,1484720,1360664,2024-09-23 01:00:22.401524
l2s,Aggregated,Volume too Low,2024-07-16 00:00:00.000 UTC,8.303099102113421,8.16556395848147,159173277495,157910368461,L2s,743335,1350339,1339172,2024-09-23 01:00:22.401524
