blockchain,chain_id,dt,layer,name,num_qualified_txs,num_raw_txs,num_success_txs,last_updated
scroll,534352,2024-04-05 00:00:00.000 UTC,L2,Scroll,240222,281073,270937,2024-07-01 00:19:07.295055
celo,42220,2024-06-21 00:00:00.000 UTC,L1,Celo,562338,621487,603951,2024-07-01 00:19:07.295055
scroll,534352,2024-06-02 00:00:00.000 UTC,L2,Scroll,252803,290312,281098,2024-07-01 00:19:07.295055
polygon,137,2024-04-02 00:00:00.000 UTC,L1,Polygon PoS,4050762,4046446,3754506,2024-07-01 00:19:07.295055
mantle,5000,2024-06-14 00:00:00.000 UTC,L2,Mantle,533238,618790,606866,2024-07-01 00:19:07.295055
fantom,250,2024-04-10 00:00:00.000 UTC,L1,Fantom,141100,255123,221633,2024-07-01 00:19:07.295055
polygon,137,2024-05-16 00:00:00.000 UTC,L1,Polygon PoS,4272368,4270833,3956456,2024-07-01 00:19:07.295055
gnosis,100,2024-05-03 00:00:00.000 UTC,L1,Gnosis,146761,169698,164373,2024-07-01 00:19:07.295055
linea,59144,2024-05-03 00:00:00.000 UTC,L2,Linea,251130,288704,283666,2024-07-01 00:19:07.295055
zora,7777777,2024-06-13 00:00:00.000 UTC,L2,ZORA,123602,147090,146750,2024-07-01 00:19:07.295055
fantom,250,2024-06-20 00:00:00.000 UTC,L1,Fantom,91832,321898,297155,2024-07-01 00:19:07.295055
bnb,56,2024-06-15 00:00:00.000 UTC,L1,BNB,2620669,2862328,2654928,2024-07-01 00:19:07.295055
linea,59144,2024-06-10 00:00:00.000 UTC,L2,Linea,367050,429246,425605,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-18 00:00:00.000 UTC,L2,Polygon zkEVM,6892,10445,10132,2024-07-01 00:19:07.295055
zksync,324,2024-04-07 00:00:00.000 UTC,L2,zkSync Era,1136268,1136267,1106003,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-28 00:00:00.000 UTC,L2,Arbitrum One,1495955,1992335,1806824,2024-07-01 00:19:07.295055
zora,7777777,2024-07-01 00:00:00.000 UTC,L2,ZORA,1424,1526,1524,2024-07-01 00:19:07.295055
ethereum,1,2024-06-25 00:00:00.000 UTC,L1,Ethereum,737365,1192779,1170309,2024-07-01 00:19:07.295055
base,8453,2024-05-18 00:00:00.000 UTC,L2,Base,1213757,1742669,1633009,2024-07-01 00:19:07.295055
blast,81457,2024-06-13 00:00:00.000 UTC,L2,Blast,876410,989912,951480,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-11 00:00:00.000 UTC,L1,Avalanche C-Chain,107444,138946,132465,2024-07-01 00:19:07.295055
celo,42220,2024-06-03 00:00:00.000 UTC,L1,Celo,520691,566200,556093,2024-07-01 00:19:07.295055
ethereum,1,2024-06-27 00:00:00.000 UTC,L1,Ethereum,715601,1172617,1150239,2024-07-01 00:19:07.295055
zkevm,1101,2024-05-07 00:00:00.000 UTC,L2,Polygon zkEVM,14465,18002,17560,2024-07-01 00:19:07.295055
polygon,137,2024-07-01 00:00:00.000 UTC,L1,Polygon PoS,65465,63766,62260,2024-07-01 00:19:07.295055
optimism,10,2024-05-03 00:00:00.000 UTC,L2,OP Mainnet,387456,563322,519165,2024-07-01 00:19:07.295055
blast,81457,2024-04-16 00:00:00.000 UTC,L2,Blast,373115,408579,398723,2024-07-01 00:19:07.295055
zora,7777777,2024-05-04 00:00:00.000 UTC,L2,ZORA,77005,95778,95353,2024-07-01 00:19:07.295055
celo,42220,2024-04-06 00:00:00.000 UTC,L1,Celo,233398,262602,256689,2024-07-01 00:19:07.295055
base,8453,2024-06-11 00:00:00.000 UTC,L2,Base,1967288,2864653,2630702,2024-07-01 00:19:07.295055
linea,59144,2024-05-09 00:00:00.000 UTC,L2,Linea,342214,385185,379888,2024-07-01 00:19:07.295055
bnb,56,2024-06-01 00:00:00.000 UTC,L1,BNB,2485046,2776671,2667404,2024-07-01 00:19:07.295055
bnb,56,2024-06-28 00:00:00.000 UTC,L1,BNB,2608774,2759028,2612940,2024-07-01 00:19:07.295055
mantle,5000,2024-04-17 00:00:00.000 UTC,L2,Mantle,212804,258821,233182,2024-07-01 00:19:07.295055
zora,7777777,2024-05-30 00:00:00.000 UTC,L2,ZORA,86074,102342,101633,2024-07-01 00:19:07.295055
bnb,56,2024-05-26 00:00:00.000 UTC,L1,BNB,2453372,2668595,2556492,2024-07-01 00:19:07.295055
bnb,56,2024-04-18 00:00:00.000 UTC,L1,BNB,3058785,3847410,3667011,2024-07-01 00:19:07.295055
mantle,5000,2024-06-28 00:00:00.000 UTC,L2,Mantle,471921,512541,506339,2024-07-01 00:19:07.295055
linea,59144,2024-06-05 00:00:00.000 UTC,L2,Linea,556932,648631,637888,2024-07-01 00:19:07.295055
scroll,534352,2024-04-19 00:00:00.000 UTC,L2,Scroll,223569,237685,232205,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-30 00:00:00.000 UTC,L2,Polygon zkEVM,15561,20155,19542,2024-07-01 00:19:07.295055
optimism,10,2024-05-28 00:00:00.000 UTC,L2,OP Mainnet,400986,509626,482358,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-05 00:00:00.000 UTC,L1,Avalanche C-Chain,117850,154486,144975,2024-07-01 00:19:07.295055
zkevm,1101,2024-05-04 00:00:00.000 UTC,L2,Polygon zkEVM,14361,17534,17163,2024-07-01 00:19:07.295055
base,8453,2024-05-10 00:00:00.000 UTC,L2,Base,1631674,2176608,1929271,2024-07-01 00:19:07.295055
bnb,56,2024-05-14 00:00:00.000 UTC,L1,BNB,2535915,2977320,2863580,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-04 00:00:00.000 UTC,L2,Polygon zkEVM,5773,8707,8574,2024-07-01 00:19:07.295055
zkevm,1101,2024-06-25 00:00:00.000 UTC,L2,Polygon zkEVM,17994,23433,22759,2024-07-01 00:19:07.295055
gnosis,100,2024-06-24 00:00:00.000 UTC,L1,Gnosis,66722,108488,102772,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-20 00:00:00.000 UTC,L1,Avalanche C-Chain,203080,261219,251627,2024-07-01 00:19:07.295055
optimism,10,2024-04-24 00:00:00.000 UTC,L2,OP Mainnet,500214,634798,595920,2024-07-01 00:19:07.295055
bnb,56,2024-05-18 00:00:00.000 UTC,L1,BNB,2299572,2709394,2622329,2024-07-01 00:19:07.295055
base,8453,2024-05-02 00:00:00.000 UTC,L2,Base,1643830,2455292,2097893,2024-07-01 00:19:07.295055
mantle,5000,2024-04-07 00:00:00.000 UTC,L2,Mantle,199829,226940,216278,2024-07-01 00:19:07.295055
bnb,56,2024-05-01 00:00:00.000 UTC,L1,BNB,2841553,3446327,3270247,2024-07-01 00:19:07.295055
zora,7777777,2024-04-29 00:00:00.000 UTC,L2,ZORA,101046,125145,123443,2024-07-01 00:19:07.295055
blast,81457,2024-04-21 00:00:00.000 UTC,L2,Blast,387713,417490,410754,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-15 00:00:00.000 UTC,L2,Arbitrum One,1249923,1793796,1716168,2024-07-01 00:19:07.295055
scroll,534352,2024-05-29 00:00:00.000 UTC,L2,Scroll,276504,318606,307188,2024-07-01 00:19:07.295055
celo,42220,2024-06-07 00:00:00.000 UTC,L1,Celo,576386,622198,613663,2024-07-01 00:19:07.295055
zksync,324,2024-04-15 00:00:00.000 UTC,L2,zkSync Era,1155137,1155133,1127730,2024-07-01 00:19:07.295055
optimism,10,2024-04-05 00:00:00.000 UTC,L2,OP Mainnet,444283,740049,706724,2024-07-01 00:19:07.295055
optimism,10,2024-06-14 00:00:00.000 UTC,L2,OP Mainnet,417976,518216,488412,2024-07-01 00:19:07.295055
polygon,137,2024-06-30 00:00:00.000 UTC,L1,Polygon PoS,3851540,3849989,3608148,2024-07-01 00:19:07.295055
base,8453,2024-06-17 00:00:00.000 UTC,L2,Base,1926725,3025042,2755294,2024-07-01 00:19:07.295055
bnb,56,2024-05-31 00:00:00.000 UTC,L1,BNB,2695694,3088264,2961606,2024-07-01 00:19:07.295055
polygon,137,2024-05-08 00:00:00.000 UTC,L1,Polygon PoS,4185015,4182573,3991814,2024-07-01 00:19:07.295055
blast,81457,2024-04-02 00:00:00.000 UTC,L2,Blast,559564,601116,585792,2024-07-01 00:19:07.295055
bnb,56,2024-05-28 00:00:00.000 UTC,L1,BNB,2704445,3009599,2879731,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-04-23 00:00:00.000 UTC,L1,Avalanche C-Chain,184470,229296,216792,2024-07-01 00:19:07.295055
zora,7777777,2024-06-27 00:00:00.000 UTC,L2,ZORA,109953,131584,130990,2024-07-01 00:19:07.295055
bnb,56,2024-06-19 00:00:00.000 UTC,L1,BNB,2767965,3209976,2951288,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-06 00:00:00.000 UTC,L1,Avalanche C-Chain,141383,183194,170663,2024-07-01 00:19:07.295055
scroll,534352,2024-06-03 00:00:00.000 UTC,L2,Scroll,292240,339549,324020,2024-07-01 00:19:07.295055
base,8453,2024-06-03 00:00:00.000 UTC,L2,Base,1735466,2477081,2204671,2024-07-01 00:19:07.295055
celo,42220,2024-04-15 00:00:00.000 UTC,L1,Celo,258994,295912,276738,2024-07-01 00:19:07.295055
mantle,5000,2024-04-26 00:00:00.000 UTC,L2,Mantle,407861,554472,541402,2024-07-01 00:19:07.295055
zksync,324,2024-06-26 00:00:00.000 UTC,L2,zkSync Era,491195,491194,483277,2024-07-01 00:19:07.295055
scroll,534352,2024-04-30 00:00:00.000 UTC,L2,Scroll,307353,353169,342705,2024-07-01 00:19:07.295055
gnosis,100,2024-04-05 00:00:00.000 UTC,L1,Gnosis,141568,159674,158102,2024-07-01 00:19:07.295055
mantle,5000,2024-04-09 00:00:00.000 UTC,L2,Mantle,202161,232732,217209,2024-07-01 00:19:07.295055
zora,7777777,2024-05-25 00:00:00.000 UTC,L2,ZORA,77453,90734,89969,2024-07-01 00:19:07.295055
bnb,56,2024-04-10 00:00:00.000 UTC,L1,BNB,3139718,3913955,3729029,2024-07-01 00:19:07.295055
arbitrum,42161,2024-04-09 00:00:00.000 UTC,L2,Arbitrum One,1311732,1770534,1571798,2024-07-01 00:19:07.295055
celo,42220,2024-04-02 00:00:00.000 UTC,L1,Celo,227121,261218,252444,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-09 00:00:00.000 UTC,L1,Avalanche C-Chain,163072,204688,192787,2024-07-01 00:19:07.295055
polygon,137,2024-04-16 00:00:00.000 UTC,L1,Polygon PoS,4156528,4153922,3895890,2024-07-01 00:19:07.295055
celo,42220,2024-06-02 00:00:00.000 UTC,L1,Celo,561335,601131,594793,2024-07-01 00:19:07.295055
mantle,5000,2024-06-18 00:00:00.000 UTC,L2,Mantle,634035,696632,678091,2024-07-01 00:19:07.295055
base,8453,2024-04-30 00:00:00.000 UTC,L2,Base,1726692,2450578,2194210,2024-07-01 00:19:07.295055
linea,59144,2024-05-08 00:00:00.000 UTC,L2,Linea,329791,378860,373067,2024-07-01 00:19:07.295055
celo,42220,2024-04-21 00:00:00.000 UTC,L1,Celo,350288,392353,366062,2024-07-01 00:19:07.295055
zksync,324,2024-06-07 00:00:00.000 UTC,L2,zkSync Era,491294,491291,481253,2024-07-01 00:19:07.295055
polygon,137,2024-04-17 00:00:00.000 UTC,L1,Polygon PoS,4224108,4221525,3959144,2024-07-01 00:19:07.295055
polygon,137,2024-06-04 00:00:00.000 UTC,L1,Polygon PoS,3897168,3895412,3697560,2024-07-01 00:19:07.295055
optimism,10,2024-05-13 00:00:00.000 UTC,L2,OP Mainnet,385784,502265,476443,2024-07-01 00:19:07.295055
scroll,534352,2024-04-13 00:00:00.000 UTC,L2,Scroll,208886,246680,231684,2024-07-01 00:19:07.295055
linea,59144,2024-06-29 00:00:00.000 UTC,L2,Linea,343325,410179,407000,2024-07-01 00:19:07.295055
bnb,56,2024-06-29 00:00:00.000 UTC,L1,BNB,2331285,2474784,2360636,2024-07-01 00:19:07.295055
zksync,324,2024-05-19 00:00:00.000 UTC,L2,zkSync Era,694476,694476,684041,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-12 00:00:00.000 UTC,L2,Polygon zkEVM,5534,7895,7765,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-25 00:00:00.000 UTC,L1,Avalanche C-Chain,102584,135125,131320,2024-07-01 00:19:07.295055
ethereum,1,2024-04-07 00:00:00.000 UTC,L1,Ethereum,745022,1177289,1156803,2024-07-01 00:19:07.295055
base,8453,2024-06-01 00:00:00.000 UTC,L2,Base,1565516,2073711,1917242,2024-07-01 00:19:07.295055
celo,42220,2024-05-17 00:00:00.000 UTC,L1,Celo,570354,634948,614225,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-20 00:00:00.000 UTC,L2,Arbitrum One,2636111,3493999,3340347,2024-07-01 00:19:07.295055
zora,7777777,2024-06-05 00:00:00.000 UTC,L2,ZORA,68485,85094,83788,2024-07-01 00:19:07.295055
linea,59144,2024-06-18 00:00:00.000 UTC,L2,Linea,363431,422689,415454,2024-07-01 00:19:07.295055
optimism,10,2024-05-15 00:00:00.000 UTC,L2,OP Mainnet,427013,549947,505274,2024-07-01 00:19:07.295055
