blockchain,layer,creator_address,date,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
zora,L2,49,2024-05-22,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2116,2024-05-22,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,479,2024-05-22,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,4372,2024-05-22,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-22,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,5376,2024-05-22,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7041,2024-05-22,l1s,False,,,Other EVMs,,L1s
gnosis,L1,125,2024-05-22,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,157,2024-05-22,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2071,2024-05-22,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,101,2024-05-22,celo,False,,,Other EVMs,,Celo
bnb,L1,2977,2024-05-22,bnb,False,,,Other EVMs,,BNB
base,L2,4043,2024-05-22,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,413,2024-05-22,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1326,2024-05-22,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,11728,2024-05-22,all,False,,,Other EVMs,,All
zora,L2,50,2024-05-21,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2155,2024-05-21,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,491,2024-05-21,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,4606,2024-05-21,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-21,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,5609,2024-05-21,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7115,2024-05-21,l1s,False,,,Other EVMs,,L1s
gnosis,L1,127,2024-05-21,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,159,2024-05-21,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2093,2024-05-21,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,102,2024-05-21,celo,False,,,Other EVMs,,Celo
bnb,L1,3003,2024-05-21,bnb,False,,,Other EVMs,,BNB
base,L2,4269,2024-05-21,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,412,2024-05-21,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1328,2024-05-21,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,12017,2024-05-21,all,False,,,Other EVMs,,All
zora,L2,51,2024-05-20,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2166,2024-05-20,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,509,2024-05-20,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,5177,2024-05-20,op chains,False,,,Other EVMs,,OP Chains
