dt,chain,token_type,asset_id,address,source_chain,source_chain_id,source,usd_value,dt_updated
2024-07-10,aevo,canonical,eth-ether,native,ethereum,1,canonical,598155.4,2024-07-10 00:19:25.803651+00:00
2024-07-10,aevo,canonical,sdai-savings-dai,0x83F20F44975D03b1b09e64809B757c47f942BEeA,ethereum,1,canonical,9860657.89,2024-07-10 00:19:25.803651+00:00
2024-07-10,aevo,canonical,usdt-tether-usd,0xdAC17F958D2ee523a2206206994597C13D831ec7,ethereum,1,canonical,1245358.14,2024-07-10 00:19:25.803651+00:00
2024-07-10,aevo,canonical,usdc-usd-coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ethereum,1,canonical,11624252.44,2024-07-10 00:19:25.803651+00:00
2024-07-10,aevo,canonical,wbtc-wrapped-btc,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,ethereum,1,canonical,472128.61,2024-07-10 00:19:25.803651+00:00
2024-07-10,aevo,canonical,weth-wrapped-ether,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ethereum,1,canonical,4738166.2,2024-07-10 00:19:25.803651+00:00
2024-07-10,aevo,external,aevo:usdc-usd-coin,0xC06Ed0eB5c0e25fa71B37A3F33CFa62C7d9dD542,aevo,2999,external,27956665.21,2024-07-10 00:19:25.803651+00:00
2024-07-10,aevo,external,aevo:weth-wrapped-ether,0xEB5eAb7315f6721d90ED8DD007F802ecbFb99cE8,aevo,2999,external,8480554.99,2024-07-10 00:19:25.803651+00:00
2024-07-10,ancient,canonical,eth-ether,native,ethereum,1,canonical,923826.41,2024-07-10 00:19:25.803651+00:00
2024-07-10,apex,canonical,usdc-usd-coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ethereum,1,canonical,49469165.65,2024-07-10 00:19:25.803651+00:00
2024-07-10,apex,canonical,usdt-tether-usd,0xdAC17F958D2ee523a2206206994597C13D831ec7,ethereum,1,canonical,36809280.32,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,eth-ether,native,ethereum,1,canonical,5655145808.51,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,cnfi-connect-financial,0xEABB8996eA1662cAd2f7fB715127852cd3262Ae9,ethereum,1,canonical,1932166.84,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,rdpx-dopex-rebate-token,0x0ff5A8451A839f5F0BB3562689D9A44089738D11,ethereum,1,canonical,4825620.02,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,lpt-livepeer-token,0x58b6A8A3302369DAEc383334672404Ee733aB239,ethereum,1,canonical,99541401.42999999,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,pond-marlin-pond,0x57B946008913B82E4dF85f501cbAeD910e58D26C,ethereum,1,canonical,47387703.87,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,mcb-mux-protocol,0x4e352cF164E64ADCBad318C3a1e222E9EBa4Ce42,ethereum,1,canonical,28082172.11,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,usdt-tether-usd,0xdAC17F958D2ee523a2206206994597C13D831ec7,ethereum,1,canonical,2547779431.51,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,usdc-usd-coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ethereum,1,canonical,242578646.18,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,zrx-0x-protocol-token,0xE41d2489571d322189246DaFA5ebDe1F4699F498,ethereum,1,canonical,2646.7,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,1inch-1inch-token,0x111111111117dC0aa78b770fA6A738034120C302,ethereum,1,canonical,3206.51,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,aave-aave-token,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,ethereum,1,canonical,1819473.4,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,acx-across-protocol-token,0x44108f0223A3C3028F5Fe7AEC7f9bb2E66beF82F,ethereum,1,canonical,134838.53,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,aevo-aevo,0xB528edBef013aff855ac3c50b381f253aF13b997,ethereum,1,canonical,131.52,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,alusd-alchemix-usd,0xBC6DA0FE9aD5f3b0d58160288917AA56653660E9,ethereum,1,canonical,9.48,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,aleph-aleph.im-v2,0x27702a26126e0B3702af63Ee09aC4d1A084EF628,ethereum,1,canonical,317.1,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,ankr-ankr-network,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,ethereum,1,canonical,7600.13,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,ankreth-ankr-staked-eth,0xE95A203B1a91a908F9B9CE46459d101078c2c3cb,ethereum,1,canonical,132.68,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,ape-apecoin,0x4d224452801ACEd8B2F0aebE155379bb5D594381,ethereum,1,canonical,7251.2,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,apex-apex-token,0x52A8845DF664D76C69d2EEa607CD793565aF42B8,ethereum,1,canonical,27130717.12,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,api3-api3,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,ethereum,1,canonical,191.59,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,bal-balancer,0xba100000625a3754423978a60c9317c58a424e3D,ethereum,1,canonical,1878549.25,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,bnt-bancor-network-token,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,ethereum,1,canonical,400.88,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,bat-basic-attention-token,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,ethereum,1,canonical,86.67,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,bico-biconomy-token,0xF17e65822b568B3903685a7c9F496CF7656Cc6C2,ethereum,1,canonical,292826.34,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,bit-bitdao,0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,ethereum,1,canonical,287.51,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,blur-blur,0x5283D291DBCF85356A21bA090E6db59121208b44,ethereum,1,canonical,5285.66,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,busd-binance-usd,0x4Fabb145d64652a948d72533023f6E7A623C7C53,ethereum,1,canonical,60344.92,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,ctsi-cartesi-token,0x491604c0FDF08347Dd1fa4Ee062a822A5DD06B5D,ethereum,1,canonical,502.96,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,celr-celertoken,0x4F9254C83EB525f9FCf346490bbb3ed28a81C667,ethereum,1,canonical,51709.06,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,xcn-chain,0xA2cd3D43c775978A96BdBf12d733D5A1ED94fb18,ethereum,1,canonical,0.13,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,link-chainlink-token,0x514910771AF9Ca656af840dff83E8264EcF986CA,ethereum,1,canonical,53568759.35,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,cvc-civic,0x41e5560054824eA6B0732E656E3Ad64E20e94E45,ethereum,1,canonical,10.21,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,cbeth-coinbase-wrapped-staked-eth,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,ethereum,1,canonical,2539869.39,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,comp-compound,0xc00e94Cb662C3520282E6f5717214004A7f26888,ethereum,1,canonical,328811.08,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,next-connext,0xFE67A4450907459c3e1FFf623aA927dD4e28c67a,ethereum,1,canonical,132.23,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,people-constitutiondao,0x7A58c0Be72BE218B41C608b7Fe7C5bB630736C71,ethereum,1,canonical,112.79,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,cvxcrv-convex-crv,0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7,ethereum,1,canonical,0.01,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,cvx-convex-token,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,ethereum,1,canonical,2653.02,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,coti-coti-token,0xDDB3422497E61e13543BeA06989C0789117555c5,ethereum,1,canonical,1095.63,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,cro-cro,0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,ethereum,1,canonical,59.1,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,crv-curve-dao-token,0xD533a949740bb3306d119CC777fa900bA034cd52,ethereum,1,canonical,3606270.37,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,dao-dao-maker,0x0f51bb10119727a7e5eA3538074fb341F56B09Ad,ethereum,1,canonical,102.32,2024-07-10 00:19:25.803651+00:00
2024-07-10,arbitrum,canonical,mana-decentraland-mana,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,ethereum,1,canonical,734.64,2024-07-10 00:19:25.803651+00:00
