layer,name,chainId,explorerUrl,category,slug,isArchived,file_name,rpcUrl,provider,hostChain,da_provider_name,badges,is_upcoming,is_archived,is_current_chain,websites,documentation,repositories,provider_entity,chain
L2,Abstract,,,Validium,abstract,,abstract,,ZK Stack,,,,True,False,False,'https://abs.xyz/','https://docs.abs.xyz/',,zkSync: ZK Stack,abstract
L2,Aevo,2999,https://explorer.aevo.xyz,,aevo,,aevo,,OP Stack,,,"Badge.DA.Celestia, Badge.RaaS.Conduit",False,False,True,'https://aevo.xyz/','https://docs.aevo.xyz/','https://github.com/aevoxyz',Optimism: OP Stack,aevo
L2,AIE Chain,,,Optimium,aie-chain,,aiechain,,Arbitrum,,,,True,False,False,'https://genesis.aielabs.io/',,,Arbitrum: Orbit,aie-chain
L2,Aleph Zero EVM,,,Optimium,aleph-zero,,alephzero,,Arbitrum,,,,False,False,True,'https://alephzero.org/','https://docs.alephzero.org/','https://github.com/Cardinal-Cryptography',Arbitrum: Orbit,aleph-zero
L2,AlienX,,,Optimium,alienx,,alienx,https://rpc.alienxchain.io/http,Arbitrum,,,"Badge.VM.EVM, Badge.Stack.Orbit, Badge.RaaS.Caldera",False,False,True,'https://alienxchain.io/','https://docs.alienxchain.io',,Arbitrum: Orbit,alienx
L2,Align Network,,,Optimium,align,,align,,Arbitrum,,,,True,False,False,'https://align.network/','https://docs.align.network/docs/getting-started',,Arbitrum: Orbit,align
L2,Ancient8,,,,ancient,,ancient,https://rpc.ancient8.gg/,OP Stack,,,"Badge.DA.Celestia, Badge.RaaS.Conduit",False,False,True,'https://ancient8.gg/','https://docs.ancient8.gg/',,Optimism: OP Stack,ancient
L2,ApeX,,,Validium,apex,,apex,,StarkEx,,,"Badge.VM.AppChain,
    Badge.DA.DAC,
    Badge.Stack.StarkEx,
    Badge.Infra.SHARP,",False,False,True,'https://apex.exchange/','https://apex-pro.gitbook.io/apex-pro?lang=en-US','https://github.com/ApeX-Protocol/core',Starkware: Starknet Stack,apex
L2,Arbitrum One,42161,https://arbiscan.io,,arbitrum,,arbitrum,https://arb1.arbitrum.io/rpc,Arbitrum Orbit,,,"Badge.VM.WasmVM,
    Badge.Stack.Nitro,
    Badge.Other.Governance,
    Badge.Other.L3HostChain,",False,False,True,"'https://arbitrum.io/', 'https://arbitrum.foundation/'","'https://docs.arbitrum.io',
        'https://docs.arbitrum.foundation/',","'https://github.com/ArbitrumFoundation/docs',
        'https://github.com/ArbitrumFoundation/governance',
        'https://github.com/OffchainLabs/arbitrum',
        'https://github.com/OffchainLabs/nitro',
        'https://github.com/OffchainLabs/arb-os',",Arbitrum: Orbit,arbitrum
L2,Arcology Network,,,Optimistic Rollup,arcology,,arcology,,,,,,True,False,False,'https://arcology.network/','https://doc.arcology.network/main','https://github.com/arcology-network',,arcology
L2,Arithmic,,,ZK Rollup,arithmic,,arithmic,,,,,,True,False,False,'https://arithmic.com',"'https://arithmic-labs.gitbook.io/arithmic-documentation/',",,,arithmic
L2,Astar zkEVM,,,,astarzkevm,,astarzkevm,https://evm.astar.network,Polygon CDK,,DAC,"Badge.DA.DAC, Badge.RaaS.Gelato",False,False,True,'https://astar.network/astar2','https://docs.astar.network/docs/build/zkEVM/',,Polygon: CDK,astarzkevm
L2,Axonum,,,Optimistic Rollup,axonum,,axonum,,OP Stack,,,,True,False,False,'https://axonum.io','https://docs.axonum.io','https://github.com/axonum',Optimism: OP Stack,axonum
L2,Zk.Money v1 (Aztec v1),,,ZK Rollup,aztec,,aztecV1,,,,,,False,True,False,'https://aztec.network/','https://developers.aztec.network/','https://github.com/AztecProtocol/aztec-2-bug-bounty',,aztec
L2,Aztec,,,ZK Rollup,aztec,,aztecV2,,,,,,True,False,False,'https://aztec.network/','https://docs.aztec.network/','https://github.com/AztecProtocol/aztec-packages',,aztec
L2,Zk.Money v2 (Aztec Connect),,,ZK Rollup,aztecconnect,,aztecconnect,,,,,,False,True,False,'https://aztec.network/','https://developers.aztec.network/','https://github.com/AztecProtocol/aztec-connect',,aztecconnect
L2,Base,8453,https://basescan.org,,base,,base,https://developer-access-mainnet.base.org,OP Stack,,,"Badge.Infra.Superchain, Badge.Other.L3HostChain",False,False,True,'https://base.org/',"'https://docs.base.org/', 'https://stack.optimism.io/'",'https://github.com/base-org',Optimism: OP Stack,base
L2,Blast,81457,https://blastscan.io/,,blast,,blast,https://rpc.blast.io/,OP Stack,,,,False,False,True,'https://blast.io/en','https://docs.blast.io/about-blast',,Optimism: OP Stack,blast
L2,BOB,60808,https://explorer.gobob.xyz,,bob,,bob,https://rpc.gobob.xyz/,OP Stack,,,Badge.RaaS.Conduit,False,False,True,'https://gobob.xyz','https://docs.gobob.xyz','https://github.com/bob-collective',Optimism: OP Stack,bob
L2,Boba Network,288,https://eth.bobascan.com/,,bobanetwork,,bobanetwork,https://mainnet.boba.network/,OP Stack,,,,False,False,True,'https://boba.network','https://docs.boba.network/','https://github.com/bobanetwork/boba',Optimism: OP Stack,bobanetwork
L2,Camp,,,Optimium,camp,,camp,,OP Stack,,,,True,False,False,'https://campnetwork.xyz/','https://campaign-1.gitbook.io/camp-technical-docs',,Optimism: OP Stack,camp
L2,Canto,,,ZK Rollup,canto,,canto,,Polygon,,,,True,False,False,'https://canto.io','https://docs.canto.io',,Polygon: CDK,canto
L2,Canvas Connect,,,Validium,canvasconnect,,canvasconnect,,StarkEx,,,,False,True,False,'https://canvas.co/','https://docs.starkware.co/starkex/index.html','https://github.com/starkware-libs/starkex-contracts',Starkware: Starknet Stack,canvasconnect
L2,Capx,,,ZK Rollup,capx,,capx,,Polygon,,,,True,False,False,'https://capx.fi/','https://capx.gitbook.io/docs',,Polygon: CDK,capx
L2,Celo,,,Optimium,celo,,celo,,OP Stack,,,,True,False,False,'https://celo.org/','https://docs.celo.org/','https://github.com/celo-org',Optimism: OP Stack,celo
L2,Coti,,,Optimistic Rollup,coti,,coti,,,,,,True,False,False,'https://coti.io/',"'https://medium.com/cotinetwork/how-coti-is-gearing-up-for-2024-and-beyond-e0d465794767',",'https://github.com/coti-io',,coti
L2,Creator,,,Validium,creator,,creator,,ZK Stack,,,,True,False,False,'https://oncreator.com/',,,zkSync: ZK Stack,creator
