dt,blockchain,layer,num_qualified_txs,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
2024-05-19,zora,L2,502.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-05-19,zksync,L2,4304.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-05-19,scroll,L2,1983.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-05-19,polygon,L1,43618.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-05-19,optimism,L2,4556.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-05-19,mode,L2,1314.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-05-19,gnosis,L1,2218.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-05-19,fraxtal,L2,375.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-05-19,fantom,L1,1544.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-05-19,ethereum,L1,8825.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-05-19,celo,L1,3049.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-05-19,bob,L2,521.0,goldsky,bob (build on bitcoin),True,60808.0,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-05-19,bnb,L1,41502.0,dune,bnb,False,,,Other EVMs,,BNB
2024-05-19,blast,L2,3397.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-05-19,base,L2,16606.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-05-19,avalanche_c,L1,1846.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-05-19,arbitrum,L2,33884.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-05-18,zora,L2,60975.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-05-18,zksync,L2,709290.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-05-18,scroll,L2,212680.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-05-18,polygon,L1,4099818.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-05-18,optimism,L2,270397.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-05-18,mode,L2,74388.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-05-18,gnosis,L1,105233.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-05-18,fraxtal,L2,17474.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-05-18,fantom,L1,98688.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-05-18,ethereum,L1,572199.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-05-18,celo,L1,545123.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-05-18,bob,L2,40654.0,goldsky,bob (build on bitcoin),True,60808.0,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-05-18,bnb,L1,2154000.0,dune,bnb,False,,,Other EVMs,,BNB
2024-05-18,blast,L2,448357.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-05-18,base,L2,1050753.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-05-18,avalanche_c,L1,112186.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-05-18,arbitrum,L2,2115943.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-05-17,zora,L2,77888.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-05-17,zksync,L2,792020.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-05-17,scroll,L2,258783.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-05-17,polygon,L1,4033055.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-05-17,optimism,L2,348980.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-05-17,mode,L2,64686.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-05-17,metal,L2,1.0,goldsky,metal,True,1750.0,modern,OP Chain,metal,Metal
2024-05-17,gnosis,L1,109456.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-05-17,fraxtal,L2,13347.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-05-17,fantom,L1,87990.0,dune,fantom,False,,,Other EVMs,,Fantom
