alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,calldata_bytes_l1_inbox,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_bytes_used_total,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_eth_fees_to_validators_total,l1_eth_fees_total,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_total,l1_num_txs_total,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,secs_between_l1_txs_inbox,secs_between_l1_txs_output,share_elapsed,last_updated
OP Stack Fork,,16.166468297498255,6.012100320136526,5.72934744787156,55519,2024-05-07 00:00:00.000 UTC,,,,444248816,0.005090024660843123,15.53984776325362,0.01733051755353235,0.01427135540113112,0.003059162152401228,249.78753447899786,923.2563910838494,2907718,2373772,533946.0,108587300643,1231931,0.009181330740287999,28.218731616148208,53.16971430319157,43.75857937940184,9.411134923789731,Karak,71,77,71,6.0,1216.9014084507041,14400.0,,2024-06-08 13:14:12.086207
OP Chain,,255.7362030014041,6.294068443325412,5.982332003498296,3468,2024-05-16 00:00:00.000 UTC,,,,457761714,0.00034012155090988805,1.0147812044070248,0.027202351610476287,0.013822076416827886,0.013380275193648402,289.3037154332958,843.6492414189483,4432680,2196048,2236632.0,108598795011,1218766,0.013481954865918,40.224561738986964,81.18738885548521,41.23934294339399,39.948045912091224,CyberConnect,102,126,102,24.0,847.0588235294117,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,7.177301381035716,6.123176431827083,0,2024-05-16 00:00:00.000 UTC,2.2020096e-11,22020096.0,6.571403771904e-08,457761714,0.0,0.0,0.017344896155575246,0.004220253234069096,0.013124642921506148,289.3037154332958,843.6492414189483,2731437,588000,2143437.0,108598795011,1218766,0.004220253212049,12.586660355573922,51.765441655521386,12.586660421287956,39.17878123423343,Mode,168,51,28,23.0,3085.714285714286,3756.521739130435,,2024-06-08 13:14:12.086207
OP Stack Fork,,6.436805574428927,6.350302383233652,5.958506391845709,111592962,2024-05-07 00:00:00.000 UTC,,,,444248816,11.303573505069036,34749.616643933026,11.471255105421786,11.45852001354452,0.012735091877266265,249.78753447899786,923.2563910838494,1806542712,1804405416,2137296.0,108587300643,1231931,0.15494650847547906,476.3583960569832,35265.099010428596,35225.97503999,39.12397043859683,Blast,1155,1179,1155,24.0,74.8051948051948,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,1e-09,Infinity,8.633801770888887,7.574392437500001,0,2024-05-07 00:00:00.000 UTC,1.1796480000000002e-12,1179648.0,3.62644897792e-09,444248816,0.0,0.0,0.002947460502271398,0.001631788535877648,0.00131567196639375,249.78753447899786,923.2563910838494,362700,189000,173700.0,108587300643,1231931,0.0016317885346980002,5.017068157040967,9.085589048013455,5.0170681606674155,4.06852088734604,BOB (Build on Bitcoin),9,11,9,2.0,9600.0,43200.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,8.15775465025,7.332116947,0,2024-05-07 00:00:00.000 UTC,1.048576e-12,1048576.0,3.22069594112e-09,444248816,0.0,0.0,0.002737136060041906,0.001370502782290576,0.00136663327775133,249.78753447899786,923.2563910838494,354390,168000,186390.0,108587300643,1231931,0.0013705027812420001,4.2090087406838155,8.39873414508664,4.209008743904511,4.189725401182129,Metal,8,10,8,2.0,10800.0,43200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,274.3916360006758,7.555400653063839,7.31671858285845,20500,2024-05-07 00:00:00.000 UTC,,,,444248816,0.0022461008455458443,6.904310846435546,0.09682848690392398,0.0815779576929288,0.015250529210995185,249.78753447899786,923.2563910838494,12881644,10797304,2084340.0,108587300643,1231931,0.07933185684738302,243.85917443798795,297.62483124139425,250.76348528442327,46.86134595697099,Orderly,500,524,500,24.0,172.8,3600.0,,2024-06-08 13:14:12.086207
OP Chain,,295.19558879721615,8.085586142356384,7.423227925894297,740,2024-05-07 00:00:00.000 UTC,,,,444248816,9.5639057909472e-05,0.2941106960036691,0.01961317816789641,0.0034915824926814716,0.01612159567521494,249.78753447899786,923.2563910838494,2603605,431828,2171777.0,108587300643,1231931,0.003395943434772,10.443219561623119,60.277363146747156,10.73733025762679,49.54003288912037,Fraxtal,20,45,20,25.0,4320.0,3456.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,259.2040290781561,7.1239683717333895,6.776693235132645,779,2024-05-07 00:00:00.000 UTC,,,,444248816,8.0301631577288e-05,0.24677761205630605,0.017636037871912473,0.0029227932476812873,0.014713244624231184,249.78753447899786,923.2563910838494,2581430,410276,2171154.0,108587300643,1231931,0.002842491616104,8.735447692436097,54.15496594587108,8.982225304492403,45.17274064137868,Hypr,19,44,19,25.0,4547.368421052632,3456.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,251.10557275173883,6.915645197042703,7.647112313908375,9717,2024-05-07 00:00:00.000 UTC,,,,444248816,0.0009749561899070965,2.9970418985503926,0.05133312224786687,0.035393940167495086,0.015939182080371782,249.78753447899786,923.2563910838494,7202292,5117952,2084340.0,108587300643,1231931,0.034418983977588004,105.8047756812092,157.83824299432814,108.8018175797596,49.036425414568555,Lyra,237,261,237,24.0,364.55696202531647,3600.0,,2024-06-08 13:14:12.086207
