block_date,chain_id,total_len_encoded_transaction,average_len_encoded_transaction,transaction_count,total_estimatedSize,average_estimatedSize,chain_name
2024-06-06,7777777.0,39338847,410.2540124518975,95889,15127891.3563,157.7646169664925,zora
2024-06-05,7777777.0,40547550,469.71352115286595,86324,14713439.7573,170.4443695530791,zora
2024-06-04,7777777.0,40333691,448.72050152415284,89886,14754508.4102,164.14690174443183,zora
2024-06-03,7777777.0,42419468,487.60811540893155,86995,14808243.8941,170.21948266107248,zora
2024-06-02,7777777.0,39705683,445.6605719801558,89094,14497851.7507,162.72534346532876,zora
2024-06-01,7777777.0,39436773,451.7643965862879,87295,14336847.9375,164.2344686121771,zora
2024-05-31,7777777.0,48235817,448.8597656867945,107463,17833627.8869,165.95133103393727,zora
2024-05-30,7777777.0,52159726,503.5354436367498,103587,18138709.2848,175.1060392211378,zora
2024-05-29,7777777.0,50105434,510.51936910317283,98146,18730002.0789,190.83816028060235,zora
2024-05-28,7777777.0,44652607,470.4681965209512,94911,16745753.0819,176.4363781005363,zora
2024-05-27,7777777.0,30197850,409.3458133955077,73771,11552389.5664,156.59797978067263,zora
2024-05-26,7777777.0,44831375,529.0524433849821,84739,15324920.8957,180.8484982794227,zora
2024-05-25,7777777.0,45029559,490.7853841961853,91750,15853140.4699,172.78627215149865,zora
2024-05-24,7777777.0,44375340,513.0334350721421,86496,14932162.0058,172.63413343738438,zora
2024-05-23,7777777.0,37823182,482.0388963232014,78465,13166726.4099,167.80381584018352,zora
2024-05-22,7777777.0,46222254,553.6925491135602,83480,15228962.6923,182.42648169980833,zora
2024-05-21,7777777.0,43485219,568.129747455612,76541,14175335.0261,185.1992399642022,zora
2024-05-20,7777777.0,42270341,523.685729152471,80717,14285714.1071,176.98519651498447,zora
2024-05-19,7777777.0,32691401,457.068969856272,71524,11709713.6533,163.7172648803199,zora
2024-05-18,7777777.0,45551137,536.0975543734112,84968,15137800.8277,178.15884600908578,zora
2024-05-17,7777777.0,42229303,403.9535393150947,104540,16288910.643099999,155.81510085230533,zora
2024-05-16,7777777.0,44498096,505.47637222828064,88032,15442948.672699999,175.42426245796983,zora
2024-05-15,7777777.0,56740101,549.7698896392686,103207,18795879.5626,182.11826293371576,zora
2024-05-14,7777777.0,60127745,528.8233612721084,113701,20438100.8406,179.75304386592904,zora
2024-05-13,7777777.0,50307366,469.6750660529731,107111,18250982.093200002,170.3931631036962,zora
2024-05-12,7777777.0,47167921,468.8566927098865,100602,17389049.8309,172.84994166020556,zora
2024-05-11,7777777.0,41930565,423.5538955725931,98997,16086119.8378,162.49098293685668,zora
2024-05-10,7777777.0,50652121,486.64656431343917,104084,18271995.1208,175.55047001268207,zora
2024-06-06,34443.0,46106059,235.35627542764382,195899,25174011.9029,128.5050556812439,mode
2024-06-05,34443.0,45287645,229.39280431963692,197424,24929743.0417,126.27513899880461,mode
2024-06-04,34443.0,46628338,235.23172386655435,198223,25327675.7183,127.77364744908512,mode
2024-06-03,34443.0,46121067,256.86889518855367,179551,24376252.1981,135.76227477485506,mode
2024-06-02,34443.0,42361841,226.06002924351094,187392,23575516.6748,125.80855465975068,mode
2024-06-01,34443.0,43482657,226.7426096750812,191771,24269094.7085,126.55247513179783,mode
2024-05-31,34443.0,54825990,271.199637912357,202161,27747958.5182,137.2567335846182,mode
2024-05-30,34443.0,46723949,245.98025269807843,189950,25352993.3547,133.47193132245326,mode
2024-05-29,34443.0,50971767,228.70935131715328,222867,28109731.972,126.12783396375416,mode
2024-05-28,34443.0,53806778,234.86871270619355,229093,29405240.8882,128.35503873186872,mode
2024-05-27,34443.0,53886354,233.05633693170023,231216,29573585.5669,127.90458085469864,mode
2024-05-26,34443.0,53930852,234.9641525216967,229528,29218444.7377,127.2979537908229,mode
2024-05-25,34443.0,51414416,228.40497196826328,225102,28383364.0446,126.09112333342217,mode
2024-05-24,34443.0,54396852,247.4406244598295,219838,28944243.1523,131.66169248401096,mode
2024-05-23,34443.0,55849813,244.07323095479495,228824,30254770.5721,132.21851978857111,mode
2024-05-22,34443.0,50404860,236.72477762227254,212926,27423721.4712,128.79461160778862,mode
2024-05-21,34443.0,55826294,237.9211479615755,234642,30800424.67,131.26560747862703,mode
2024-05-20,34443.0,53038801,242.0459413947163,219127,29072849.8323,132.6757991132996,mode
2024-05-19,34443.0,45910341,215.45249380537618,213088,25649783.446200002,120.3717874596411,mode
2024-05-18,34443.0,49562532,215.69746450922193,229778,27627772.891,120.23680635657026,mode
2024-05-17,34443.0,51840574,229.37190667710863,226011,28385205.8066,125.59214288950538,mode
2024-05-16,34443.0,55155260,257.5170533333956,214181,28471646.4451,132.93264316209186,mode
2024-05-15,34443.0,50578619,246.72737782807638,204998,27138522.2787,132.384327060264,mode
2024-05-14,34443.0,50761842,247.99012179214728,204693,27081039.3175,132.30075927120126,mode
2024-05-13,34443.0,50958405,255.51897648810868,199431,26706883.8095,133.9154083843535,mode
2024-05-12,34443.0,48736063,262.2587229325412,185832,25487472.8311,137.15330422693614,mode
2024-05-11,34443.0,43338431,280.1033524427525,154723,21914028.564,141.6339430078269,mode
2024-05-10,34443.0,102112548,418.4065953427767,244051,42041143.2081,172.26376129620448,mode
