block_date,chain_id,total_len_encoded_transaction,average_len_encoded_transaction,transaction_count,total_len_compressed_transaction,average_len_compressed_transaction,total_estimatedSize,average_estimatedSize,chain_name,display_name
2024-05-30,8453,1586384524,698.8896797341163,2269864,725226391,319.5021336080047,534372037.5705,235.42028842719213,base,Base
2024-05-29,8453,1437111445,657.3607001972387,2186184,749996943,343.06213154976894,558253795.9336,255.35535706674276,base,Base
2024-05-28,8453,1219693668,631.935507737455,1930092,638341028,330.73088122224226,473626830.6885,245.39080556185922,base,Base
2024-05-27,8453,1184351237,668.4889839271563,1771684,582918306,329.01934317858036,429718918.5426,242.5482865695011,base,Base
2024-05-26,8453,1307751071,703.804102322888,1858118,599486671,322.6311090038415,439472814.7572,236.51501936755363,base,Base
2024-05-25,8453,1165671457,701.5874772867755,1661477,593899490,357.4527303116444,441823428.8236,265.9220854839399,base,Base
2024-05-24,8453,1264871617,626.8418716375069,2017848,666552042,330.32817238959524,490038147.9114,242.85186392205955,base,Base
2024-05-23,8453,1294206340,578.4591571933381,2237334,671672933,300.2112929942512,488793426.3256,218.4713709824282,base,Base
2024-05-22,8453,1339227266,628.6705222337441,2130253,689812738,323.8172827359004,506112296.6372,237.5831868971432,base,Base
2024-05-21,8453,1300732951,616.2245540811348,2110810,687461690,325.6862010318314,504485690.6677,239.0009951950673,base,Base
2024-05-20,8453,1202728844,603.5583566263367,1992730,632032884,317.16935259668895,465182563.1286,233.4398353658549,base,Base
2024-05-19,8453,1101883479,643.4247122238514,1712529,564977479,329.9082695825881,420226888.5683,245.3838087228304,base,Base
2024-05-18,8453,1111752809,630.2392828413786,1764017,575956425,326.50276329536507,429105874.9589,243.25495443575656,base,Base
2024-05-17,8453,1205415383,663.5871691602707,1816514,595907323,328.04994786717856,439831504.4055,242.1294327516881,base,Base
2024-05-16,8453,1194721728,635.2966505421485,1880573,603759641,321.05089299910185,444065962.9137,236.1333289979703,base,Base
2024-05-15,8453,1190191620,627.4172074413407,1896970,600426319,316.51861600341596,442234927.328,233.12700112706054,base,Base
2024-05-14,8453,1259645577,614.0595722505425,2051341,642632998,313.27458379664813,471620549.5741,229.90841092441482,base,Base
2024-05-13,8453,1199809274,602.5292544323071,1991288,613111297,307.89684716625624,450868317.1973,226.42044606169475,base,Base
2024-05-12,8453,1190109073,626.3066100340911,1900202,620942900,326.77731104377324,459998807.058,242.07889848447692,base,Base
2024-05-11,8453,1271171573,650.4638460507181,1954254,652031002,333.6470090377198,483621390.2957,247.47110165602834,base,Base
2024-05-10,8453,1419704930,644.5399434502947,2202664,707278884,321.1015769994879,517725580.4129,235.04519092013123,base,Base
2024-05-09,8453,1704516379,671.6689182825774,2537733,831262093,327.5608950981053,609046227.9386,239.9961808191011,base,Base
2024-05-08,8453,1361890229,603.5334943772025,2256528,682588523,302.4950379521105,500798053.0533,221.9330108260567,base,Base
2024-05-07,8453,1551533010,594.921632293722,2607962,815229471,312.5925419925597,596938307.2597001,228.8907228171653,base,Base
2024-05-06,8453,1428214869,583.375828264963,2448190,733615544,299.6562946503335,536188084.8531,219.01408177188046,base,Base
2024-05-05,8453,1384797666,600.2278451055862,2307120,726040553,314.6956174798017,534611969.3277,231.72265392684386,base,Base
2024-05-04,8453,1432478413,591.7972618687608,2420556,729024983,301.1807960650363,531081853.4436,219.40490261063988,base,Base
2024-05-03,8453,1512288763,561.0297392859885,2695559,799422611,296.5702516620857,580011919.5658,215.1731494527851,base,Base
2024-05-30,7777777,49557220,478.4115767422553,103587,23416983,226.06102117061022,16887824.9774,163.03035108073408,zora,Zora
2024-05-29,7777777,47634989,485.34824648992316,98146,24070457,245.25153342978828,17549634.8262,178.81151372648912,zora,Zora
2024-05-28,7777777,42267378,445.33697885387363,94911,21593204,227.51002518148582,15674996.8375,165.15469057854202,zora,Zora
2024-05-27,7777777,28360486,384.4394951945887,73771,14938139,202.49337815672826,10772874.7732,146.03129648777974,zora,Zora
2024-05-26,7777777,42715233,504.0799749820036,84739,19761615,233.2056668122116,14339662.7811,169.2215246946506,zora,Zora
2024-05-25,7777777,42732173,465.7457547683924,91750,20531074,223.77192370572206,14726851.2574,160.51064040762944,zora,Zora
2024-05-24,7777777,42215003,488.0572858860525,86496,19316148,223.3183962264151,13887770.7825,160.5596881069645,zora,Zora
2024-05-23,7777777,35857713,456.989906327662,78465,17056467,217.37675396673677,12251385.5334,156.13822128847255,zora,Zora
2024-05-22,7777777,44117145,528.4756229036896,83480,19632772,235.17934834690945,14150083.629,169.50267883325347,zora,Zora
2024-05-21,7777777,41551887,542.8709711135209,76541,18257790,238.5360787029174,13200034.1897,172.45703857671052,zora,Zora
2024-05-20,7777777,40215319,498.22613575826654,80717,18335087,227.15273114709416,13338089.6423,165.24511121944573,zora,Zora
2024-05-19,7777777,30870039,431.60392315866005,71524,15205835,212.5976595268721,10857978.6267,151.8088841046362,zora,Zora
2024-05-18,7777777,43390713,510.6712291686282,84968,19481558,229.28111759721307,14083230.7294,165.74746645089917,zora,Zora
2024-05-17,7777777,39567918,378.49548498182514,104540,21049618,201.35467763535488,15250229.4526,145.87937107901283,zora,Zora
2024-05-16,7777777,42263317,480.09038758633227,88032,19924482,226.3322655398037,14325081.4384,162.72584331152308,zora,Zora
2024-05-15,7777777,54118783,524.3712441985524,103207,24237026,234.83897410059396,17415044.1322,168.7389821640005,zora,Zora
2024-05-14,7777777,57231865,503.35410418553926,113701,26366465,231.89299126656758,18945255.4347,166.62347239426217,zora,Zora
2024-05-13,7777777,47589321,444.29910093267733,107111,23694506,221.21449711047418,16852206.3092,157.33403954028998,zora,Zora
2024-05-12,7777777,44622152,443.55134092761574,100602,22623778,224.8839784497326,16108544.1851,160.121510358641,zora,Zora
2024-05-11,7777777,39422685,398.22100669717264,98997,20909846,211.21696617069205,14920421.6117,150.7158965594917,zora,Zora
2024-05-10,7777777,48011431,461.27580607970486,104084,23611600,226.85138926251872,16968571.7213,163.0276672812344,zora,Zora
2024-05-09,7777777,45111100,471.1538863242329,95746,22131167,231.144559563846,15889464.7394,165.95434524053223,zora,Zora
2024-05-08,7777777,56366876,461.3806662846853,122170,28182140,230.67970860276662,20052007.9767,164.1320125783744,zora,Zora
2024-05-07,7777777,49196113,468.4942528735632,105009,24050515,229.03289241874506,17180096.048,163.60593899570515,zora,Zora
2024-05-06,7777777,42773161,451.28889006119437,94780,20888666,220.3910740662587,15147425.6147,159.81668721987762,zora,Zora
2024-05-05,7777777,37317954,386.49026471684823,96556,19722093,204.2554890426281,14280305.3646,147.8966129976387,zora,Zora
2024-05-04,7777777,38825264,398.42032673836303,97448,20234151,207.64049544372384,14621188.3933,150.04092842644283,zora,Zora
2024-05-03,7777777,44165066,360.9879112346234,122345,23822656,194.7170378846704,17458486.1433,142.6988119113981,zora,Zora
2024-05-30,34443,41875078,220.45316135825217,189950,30852571,162.42469597262436,24665225.2513,129.85114636114767,mode,Mode
2024-05-29,34443,45278693,203.16463630775306,222867,34124564,153.11627113928935,27404431.9219,122.9631660223362,mode,Mode
2024-05-28,34443,47958566,209.34103617308256,229093,35742536,156.01758237920845,28664859.5341,125.12324485732869,mode,Mode
2024-05-27,34443,47984564,207.53133001176388,231216,35960105,155.52602328558578,28836682.7622,124.717505545464,mode,Mode
2024-05-26,34443,48057008,209.37318322819002,229528,35403646,154.24543410825694,28542084.447,124.35120964326792,mode,Mode
2024-05-25,34443,45660447,202.84336434149853,225102,34373358,152.70125543087133,27750741.1062,123.28073986992563,mode,Mode
2024-05-24,34443,48824774,222.09433309982805,219838,35360948,160.85002592818347,28145352.7127,128.02769636141159,mode,Mode
2024-05-23,34443,50109603,218.987531902248,228824,37174627,162.45947540467782,29286701.7695,127.98789361911338,mode,Mode
2024-05-22,34443,45003084,211.35551318298377,212926,33887062,159.1494791617745,26480106.934,124.36295677371481,mode,Mode
2024-05-21,34443,49917591,212.73936891093666,234642,38734688,165.0799430621969,29431288.832,125.4306084673673,mode,Mode
2024-05-20,34443,47617731,217.30654369383964,219127,36650191,167.25547741720555,27755537.4466,126.6641602659645,mode,Mode
2024-05-19,34443,40665285,190.8379871226911,213088,32191224,151.07009310707312,24904441.7814,116.87397592262352,mode,Mode
2024-05-18,34443,43916191,191.124437500544,229778,35104607,152.77618832090104,26565172.4746,115.61234093168187,mode,Mode
2024-05-17,34443,46282545,204.7800549530775,226011,36335343,160.76802898973943,27050846.8388,119.68818702983482,mode,Mode
2024-05-16,34443,49818037,232.5978354756024,214181,35701838,166.6900331962219,27586335.6472,128.7991728827487,mode,Mode
2024-05-15,34443,45355168,221.2468804573703,204998,33561755,163.7174752924419,26340369.6868,128.49086179767608,mode,Mode
2024-05-14,34443,45557158,222.56334119877084,204693,33420471,163.27119637701338,26275535.8213,128.36558075410494,mode,Mode
2024-05-13,34443,45878456,230.04676304085123,199431,32759894,164.2668090718093,25908119.9699,129.91019435243268,mode,Mode
2024-05-12,34443,44013904,236.8478195359249,185832,31248928,168.1568728744242,24706744.7434,132.9520467056266,mode,Mode
2024-05-11,34443,39547918,255.6046483069744,154723,27185095,175.70170562876882,21143808.9609,136.6558880121249,mode,Mode
2024-05-10,34443,96194563,394.15762688946165,244051,53434939,218.94988752350943,40078477.5382,164.22173045060254,mode,Mode
2024-05-09,34443,110620080,420.02893344926963,263363,60852842,231.0607108819386,45434272.3766,172.51577623508237,mode,Mode
2024-05-08,34443,150115745,461.12133499209017,325545,94305928,289.6863045047536,71217591.6553,218.7642005108357,mode,Mode
2024-05-07,34443,276738725,531.85233409567,520330,174559639,335.4787135087348,131382977.3387,252.4993318445986,mode,Mode
2024-05-06,34443,79347224,397.23067218687265,199751,47447379,237.53262311577913,35017687.611,175.30669489013823,mode,Mode
2024-05-05,34443,83213794,419.02941280144216,198587,43010667,216.58349740919596,31352333.236,157.87706766303938,mode,Mode
2024-05-04,34443,111893334,425.9698491314494,262679,57861281,220.27372191914847,41910474.5494,159.55015265552254,mode,Mode
2024-05-03,34443,162973377,470.71114121330453,346228,80273879,231.85264912138823,57956074.5759,167.39280062819876,mode,Mode
