address,is_eligible_l1_gas,is_eligible_opc_gas,a_min_contract_created_at,b_last_transfers_in_days,c_last_active_in_days,d_gas_fee_eth_last_180days_threshold,e_is_wlta_creator,multiplier,op_amount_raw
0x00000000000cba43ae9379e73c0ccb4e08d7ed30,True,False,False,True,True,True,False,1.25,3631679160599377610197
0x000000000052a8a2d7396f1dccaa71bf42884832,True,False,True,True,False,True,False,1.25,237999039957796554745
0x00000000051cbce3fd04148cce2c0adc7c651829,False,True,True,True,True,True,True,1.5,275474481744953209272
0x000000000cc0db8ad3244765222c6edba95a084b,True,False,True,False,False,False,False,1.05,505563220596884548286
0x0000000010f2b03f9518f3c69603351e3aa3a764,True,False,False,True,True,True,False,1.25,1140101099218553144965
0x000000002b95afa9d5af031b94f0d532f3e36d3c,True,False,False,True,True,True,False,1.25,91879702865667965739
0x000000004dfa9ee5293465c56f80069e82b740fa,True,False,True,True,False,True,False,1.25,88087182574539738766
0x000000005808515c8c436c8c9c3419f9a61e4f11,True,False,False,False,False,False,False,1.0,32604554572906721432
0x00000001227612da5574747d2a45cdbb27aa8a58,False,True,False,True,True,True,False,1.25,232731399773139401077
0x000000048797808be86aa9786c1f402671192d6b,True,False,True,True,False,True,False,1.25,3855913826335255180311
0x00000004af22764bb04ddf4402fd35f6e3011123,True,False,True,True,False,True,False,1.25,2916566123737607540534
0x0000000e9c0ffd168100e4aadf63e5a531ae69bc,True,False,True,True,False,True,False,1.25,156321172585505337338
0x00000023f6b4ed7185e7b8928072a8bfec660ff3,False,True,True,False,False,False,False,1.05,170974977681235344562
0x0000005b4ca19f69521e1edc3388f4c38fe25625,False,True,False,False,True,False,False,1.05,148824433015386432544
0x000000724350d0b24747bd816dc5031acb7efe0b,True,False,True,True,True,True,False,1.5,524611207028557146259
0x000000798e0ca40142275dc9c991766cf1571793,True,True,False,True,True,True,False,1.25,375332074232302034034
0x0000007c121b92463d2a67d3194a6927524222a6,True,False,False,False,True,False,False,1.05,549086917557160063552
0x00000090dcdc9d5611b0f05bc5d1df7f9731d556,True,False,False,False,False,True,False,1.05,25191466538410242748
0x0000009711fdb005ceaf8df93123f64baab50954,True,True,False,True,True,True,False,1.25,5979476440749650464568
0x0000009ba1de6eb0c714129c79503c734240199b,False,True,False,True,True,True,False,1.25,68558287291715004130
0x0000009d4f6e8fd7f8df727bbbcd5d4ad57e8ba5,True,False,False,True,False,True,False,1.1,60023856235852505847
0x000000c6f1258933e08507923b575b6f0179a5e9,True,False,False,True,True,True,False,1.25,46505377708014890459
0x000001001e20875eb0beeb320b10f6848fd6006c,True,False,True,True,True,True,False,1.5,50532234388743127340
0x0000027795826e06db044b2aac2c87b59b4a45c0,False,True,False,True,True,True,False,1.25,485739703490496879112
0x000002c34bae6dd7bec72acba6aaac1e01a359de,False,True,False,True,True,True,False,1.25,6000000000000000000000
0x00000444e5a1a667663b0adfd853e8efa0470698,True,False,True,True,False,True,False,1.25,1301130582429590049287
0x00000637afabdd18c933e7b83aad0e32684e9a4c,True,False,False,False,False,True,False,1.05,20123963358772442689
0x00000646bbb2214c978b2b466969dbf9a8b9914a,True,False,True,True,False,True,False,1.25,41352525322720630641
0x000006de0a7a8cd76c5b8126ceb16f28fef4bd3a,True,False,False,False,False,False,False,1.0,108900303285000262576
0x00000832d78e54a28e03529ca8eba18439b0277c,False,True,False,True,False,True,False,1.1,212083474804352817955
0x0000085a9e4e0f630a9b56524d9d30da369b57dd,False,True,False,True,False,True,False,1.1,77952873232553557159
0x00000b6c27ebfdb4ac993728c252b644be7510f9,True,False,False,False,False,True,False,1.05,100758369151355168469
0x00000d1a03480d4cbfaa05048c4fae30bf409ea4,False,True,False,True,True,True,False,1.25,204667028572656874985
0x00000ee511b446eafe0f4384b4566a4fdf533dea,True,False,False,False,False,False,False,1.0,27478607297729627845
0x00000f01d0f9aa06a52c0bf3cf5cd47ba22fd5eb,True,False,True,True,True,True,False,1.5,139493833471071241092
0x000012f94ece3f7715211ebaeab36f104fcf2876,False,True,False,True,True,True,False,1.25,56512880841609380411
0x000041c7bda79b521f3e9207c343aa1ac34ecd9d,True,False,False,False,False,False,False,1.0,66326004442051043952
0x0000549772a850269fac1b7a779bc1fd090a0000,True,False,False,True,True,True,False,1.25,91171313400244557101
0x00005da757d699c39d7cb22eacc8cac3d97718bc,False,True,False,True,True,True,False,1.25,48249070938644379680
0x00006d0c78d16cbf237d6f5e5850fe9eafd2bab0,True,False,False,True,True,True,False,1.25,35137200762746736871
0x000079aa4e7ed1dbe59200f7d64868c90b12555c,False,True,False,True,True,True,False,1.25,144734161495925633290
0x00007c6cf9bf9b62b663f35542f486747a86d9d1,True,False,True,True,True,True,False,1.5,1327548062878427344913
0x000085e8fcabbbc133c21b66c3efff892b2b1689,True,False,False,False,False,False,False,1.0,47528000346686738453
0x00008972f073ae7d3f042979a938babf7149026f,False,True,False,True,True,True,False,1.25,52517140582240628532
0x00008d258fa49850f15d328b5b0dac41f54cbbd8,False,True,False,True,True,True,False,1.25,56264177755088120136
0x000092fed4ec561d279ce81b693e0d5db3e1e575,False,True,False,True,True,True,False,1.25,67025322927340624801
0x00009d8bed0dedccc8157f660b6d15bef874b3f7,False,True,False,True,True,True,False,1.25,57988063110039995252
0x0000c1adb93b27891b8aad634d3df61f9d35a541,False,True,False,True,True,True,False,1.25,64664625132935626084
0x0000dfea5f9383ac0e639c14d2a5188d024b6ba2,False,True,False,True,True,True,False,1.25,64099978614874373761
0x0000e4e5b85ac1347aefa4dc9f976817c5b11b6a,False,True,False,True,True,True,False,1.25,66039886755055619005
0x0000e932132d61b4e75bdc82269320c405d65238,False,True,False,True,True,True,False,1.25,60178468447067494651
0x0000eb34fc57b8e0cfb94f2ff502d7e5bab413e2,True,False,False,True,True,True,False,1.25,41970366892516381085
0x00030f4b6e66c1e83d36d35be888534dad275bd0,True,True,True,True,True,True,False,1.5,137413353199601829147
0x00043be03b02274a0c5940c7c2a585cc0cf6f540,True,False,True,True,False,True,False,1.25,290149104802744602694
0x000533eb6b7e1e21951c69db766b8041838f0610,True,False,False,False,False,False,False,1.0,198406238131836630600
0x00058e802800f23319e166bc3fa0003d5ab6a055,True,False,False,True,True,True,False,1.25,78704305088694482606
0x0007b9c4d506c6be7b4a3d454d078db5899172da,True,False,True,True,True,True,True,1.5,366686112751957523415
0x000a837ddd815bcba0fa91a98a50aa7a3fa62c9c,True,False,True,True,True,True,False,1.5,81082924638884819046
