launch_date ,end_date   ,event_name                          ,event_type
2024-03-14  ,           ,Ecotone Upgrade                     ,Product Launch
2024-03-08  ,           ,Farcaster Transaction Frames Launch ,App Team Launch
2024-01-26  ,           ,Farcaster Frames Launch             ,App Team Launch
2024-03-11  ,           ,We Love The Results Announcement    ,Campaign
2024-02-20  ,           ,Airdrop #4                          ,Community
2023-11-08  ,2024-02-08 ,We Love The Art Submissions         ,Campaign
2024-02-22  ,           ,Delta Upgrade                       ,Product Launch
2024-01-11  ,           ,Canyon Upgrade                      ,Product Launch
2023-09-18  ,           ,Airdrop #3                          ,Community
2023-06-26  ,           ,Bedrock Upgrade                     ,Product Launch
2023-02-09  ,           ,Airdrop #2                          ,Community
2022-05-01  ,           ,Airdrop #1                          ,Community
2021-06-23  ,2021-12-16 ,Developer Whitelist                 ,Product Launch
2021-11-11  ,           ,OVM2 OP Mainnet Regenesis           ,Product Launch
