date,round,application_name,amount_op,amount_usd_equiv,oso_project_slug,application_url
2023-04-01,retropgf2,0xPARC,206054.0,309081.0,0xparc,https://app.optimism.io/retropgf-discovery/0x5401745963974c22F8f8254a2A904Ea5f54ddc22
2023-04-01,retropgf2,0xSplits,52154.0,78231.0,0x-splits,https://app.optimism.io/retropgf-discovery/0x9ebC8E61f87A301fF25a606d7C06150f856F24E2
2023-04-01,retropgf2,Across Protocol,15039.0,22558.5,across,https://app.optimism.io/retropgf-discovery/0x33DB27C21E0f7a2f3351A4C6DDceDFB9F713410b
2023-04-01,retropgf2,Agora,101992.0,152988.0,voteagora,https://app.optimism.io/retropgf-discovery/0xFdFC6E1BbEc01288447222fC8F1AEE55a7C72b7B
2023-04-01,retropgf2,Akula,39664.0,59496.0,akula-bft,https://app.optimism.io/retropgf-discovery/0x9d6d3b09F8AC8615805bd82e53B80D956F451CFa
2023-04-01,retropgf2,Ankr,8603.0,12904.5,ankr-network,https://app.optimism.io/retropgf-discovery/0x5eEeB9F8a2050533BBEd20F87d445Dcf309a5eA7
2023-04-01,retropgf2,Ante,12929.0,19393.5,ante-finance,https://app.optimism.io/retropgf-discovery/0xa5b4f91FDE4E35Be891eA97C47D1052D8a4D75f7
2023-04-01,retropgf2,Apetimism Launchpad,13769.0,20653.5,,https://app.optimism.io/retropgf-discovery/0x2117085E7e4eE35825A9C71bbE46AAd8c01789f3
2023-04-01,retropgf2,Atlantis World,23656.0,35484.0,atlantis-world-core,https://app.optimism.io/retropgf-discovery/0x036C545Ae4f68059b4C83f7E3814429d4c73c089
2023-04-01,retropgf2,Attestation Station Interface,44342.0,66513.0,attestation-station-interface-sbvegan,https://app.optimism.io/retropgf-discovery/0x5EfF4B8c042AA6003cBDA6E32C4aA23657d3b6AF
2023-04-01,retropgf2,Bankless Academy,58067.0,87100.5,bankless-academy,https://app.optimism.io/retropgf-discovery/0xB30dD1198Feed1e22EC969f61EEd04cB75937adf
2023-04-01,retropgf2,BanklessDAO Projects,27568.0,41352.0,banklessdao,https://app.optimism.io/retropgf-discovery/0x958c20A43F5206F186B0195cCB61Acb724b2EE1E
2023-04-01,retropgf2,Basic course in crypto literacy,4504.0,6756.0,,https://app.optimism.io/retropgf-discovery/0xff95a2f9bf8fe8019d1f705B5b1e3cb8a8F223C0
2023-04-01,retropgf2,Big Sybil'or,2796.0,4194.0,,https://app.optimism.io/retropgf-discovery/0x8B93910594e2a09c30D7e97883f6d35d8772801d
2023-04-01,retropgf2,Blobscan,40012.0,60018.0,blobscan,https://app.optimism.io/retropgf-discovery/0xd7BDE01888B8A2a97924444009E31C8d8c2391F3
2023-04-01,retropgf2,Blockscout,65259.0,97888.5,blockscout,https://app.optimism.io/retropgf-discovery/0x245cE6de47A5D44E5B73f923F1aDA4cc1688D22b
2023-04-01,retropgf2,Blocktrend (區塊勢),6356.0,9534.0,,https://app.optimism.io/retropgf-discovery/0x36F322fC85B24aB13263CFE9217B28f8E2b38381
2023-04-01,retropgf2,Boardroom,32480.0,48720.0,boardroom-inc,https://app.optimism.io/retropgf-discovery/0xc1a69F906Ce4366C0C77e0219b3132FeA0969231
2023-04-01,retropgf2,Bored Town,4109.0,6163.5,,https://app.optimism.io/retropgf-discovery/0x6fF5723435b7dfC2371B57Fb5cB4c373E5995C78
2023-04-01,retropgf2,BuidlGuidl,224174.0,336261.0,buidlguidl,https://app.optimism.io/retropgf-discovery/0x34aA3F359A9D614239015126635CE7732c18fDF3
2023-04-01,retropgf2,BwareLabs,2218.0,3327.0,bwarelabs,https://app.optimism.io/retropgf-discovery/0xE0D76bDF0Dcf83685dc41570Dd4536649119D304
