Project Name,Category,% of votes received,OP Received
Protocol Guild,Infrastructure,5.5730,"557,301.00"
L2BEAT,Education,2.5629,"256,294.36"
geth,Infrastructure,2.3059,"230,590.08"
ETHGlobal,Education,2.3001,"230,005.52"
BuidlGuidl,Education,2.2417,"224,174.11"
Solidity,Infrastructure,2.1738,"217,383.16"
Ethers,Infrastructure,2.0914,"209,140.64"
0xPARC,Education,2.0605,"206,053.62"
EIP4844 collection,Infrastructure,1.9567,"195,674.82"
Monorepo dependencies collection,Infrastructure,1.8900,"188,999.93"
ZachXBT,Education,1.8857,"188,573.93"
OPCraft & MUD (Lattice),Infrastructure,1.8335,"183,348.21"
OpenZeppelin,Tooling and utilities,1.8176,"181,764.94"
DefiLlama,Tooling and utilities,1.7129,"171,292.71"
Lighthouse,Infrastructure,1.6546,"165,460.21"
wagmi,Tooling and utilities,1.5646,"156,463.05"
Remix Project,Tooling and utilities,1.5168,"151,676.14"
Gitcoin,Tooling and utilities,1.5149,"151,494.17"
Foundry,Tooling and utilities,1.4867,"148,672.83"
Snapshot,Tooling and utilities,1.4570,"145,698.50"
rotki,Tooling and utilities,1.4527,"145,272.64"
Goerli,Infrastructure,1.4351,"143,507.74"
Erigon,Infrastructure,1.4165,"141,650.27"
Nethermind,Infrastructure,1.3562,"135,623.67"
Vyper,Infrastructure,1.3523,"135,226.30"
Kernel,Education,1.3204,"132,035.12"
CryptoZombies,Education,1.3058,"130,577.81"
Giveth,Tooling and utilities,1.2981,"129,814.43"
Week in Ethereum News,Education,1.2170,"121,700.47"
Safe (previously Gnosis Safe),Infrastructure,1.1958,"119,584.01"
beaconcha.in,Infrastructure,1.0584,"105,836.75"
Agora,Tooling and utilities,1.0199,"101,992.05"
Polynya,Education,0.9882,"98,824.31"
Support NERDs collection,Education,0.9368,"93,683.95"
eth.limo,Tooling and utilities,0.9227,"92,270.33"
Synpress,Tooling and utilities,0.9189,"91,886.73"
Cannon,Tooling and utilities,0.9024,"90,241.42"
Translators collection,Education,0.8566,"85,657.06"
Nimbus,Infrastructure,0.8402,"84,018.23"
Lodestar,Infrastructure,0.7966,"79,662.51"
Teku,Infrastructure,0.7820,"78,199.65"
Revoke.cash,Tooling and utilities,0.7349,"73,489.50"
TrueBlocks,Infrastructure,0.7187,"71,866.56"
RadicalXChange,Education,0.7099,"70,988.29"
Otterscan,Infrastructure,0.6883,"68,834.84"
Blockscout,Tooling and utilities,0.6526,"65,259.35"
Where has the OP Gone?,Education,0.6506,"65,055.77"
Cryptocurrency and Friends,Education,0.6391,"63,907.22"
EthernautDAO,Education,0.6344,"63,437.90"
Keccak hashing,Infrastructure,0.6284,"62,838.16"
hardhat-deploy,Tooling and utilities,0.6265,"62,648.76"
Infinitism (ERC-4337) - Account Abstraction,Infrastructure,0.6133,"61,332.92"
Commons Stack,Tooling and utilities,0.6004,"60,038.39"
