project_name,rpgf1_amount($),rpgf2_amount,rpgf3_amount,is_in_rpgf1,is_in_rpgf2,is_in_rpgf3,round_count
Protocol Guild,0,557301.0,663853.6192,False,True,True,2
Solidity,40342,217383.16,422361.9583,True,True,True,3
go-ethereum,45232,230590.08,496896.4216,True,True,True,3
ETHGlobal,42787,230005.52,253848.978,True,True,True,3
Erigon,34230,141650.27,339545.7224,True,True,True,3
🏰 BuidlGuidl,28117,224174.11,227602.909,True,True,True,3
L2BEAT 💗,15892,256294.36,198758.5686,True,True,True,3
Lighthouse,0,165460.21,298137.8529,False,True,True,2
OpenZeppelin Contracts,0,181764.94,248448.2108,False,True,True,2
DefiLlama,7335,171292.71,248448.2108,True,True,True,3
Remix Project,0,151676.14,248448.2108,False,True,True,2
Nethermind,0,135623.67,248448.2108,False,True,True,2
Vyper,0,135226.3,248448.2108,False,True,True,2
Lattice (OPCraft & MUD),0,183348.21,195280.2937,False,True,True,2
Wagmi / Viem,0,156463.05,198758.5686,False,True,True,2
ethers.js,51345,209140.64,298137.8529,True,True,True,3
foundry,0,148672.83,198758.5686,False,True,True,2
Snapshot,0,145698.5,198758.5686,False,True,True,2
ZachXBT,0,188573.93,149455.015,False,True,True,2
beaconcha.in,0,105836.75,223603.3897,False,True,True,2
Lodestar,0,79662.51,248448.2108,False,True,True,2
Gitcoin,0,151494.17,176398.2297,False,True,True,2
Hardhat,41565,0.0,280249.5818,True,False,True,2
rotki,22005,145272.64,149068.9265,True,True,True,3
Agora,0,101992.05,212309.9278,False,True,True,2
Account Abstraction - ERC-4337,0,61332.92,248448.2108,False,True,True,2
Test in Prod,0,0.0,273293.0319,False,False,True,1
libp2p,0,0.0,298137.8529,False,False,True,1
Nimbus,0,84018.23,198758.5686,False,True,True,2
Blockscout Block Explorer,0,65259.35,198758.5686,False,True,True,2
Dappnode,9780,0.0,248448.2108,True,False,True,2
Web3js,0,0.0,248448.2108,False,False,True,1
Otterscan,8557,68834.84,170364.9133,True,True,True,3
TrueBlocks / Unchained Index,12225,71866.56,136646.5159,True,True,True,3
Kernel,0,132035.12,99379.28431,False,True,True,2
CryptoZombies,0,130577.81,99379.28431,False,True,True,2
Sourcify,0,30743.66,198758.5686,False,True,True,2
Revoke.cash,3667,73489.5,149068.9265,True,True,True,3
IPFS,0,0.0,225861.287,False,False,True,1
Ethereum Attestation Service,0,0.0,219757.63,False,False,True,1
0xPARC,0,206053.62,0.0,False,True,False,1
revm,0,0.0,198758.5686,False,False,True,1
EIP4844 collection,0,195674.82,0.0,False,True,False,1
Cannon,4890,90241.42,99379.28431,True,True,True,3
Support NERDs,0,93683.95,99379.28431,False,True,True,2
eth.limo,0,92270.33,99379.28431,False,True,True,2
Synpress,0,91886.73,99379.28431,False,True,True,2
Frame,18337,47826.28,123541.3697,True,True,True,3
Monorepo dependencies collection,0,188999.93,0.0,False,True,False,1
Week in Ethereum News,0,121700.47,59627.57059,False,True,True,2
Optimism Translators,0,85657.06,99379.28431,False,True,True,2
TypeChain / DethCode,14670,44938.67,124224.1054,True,True,True,3
Giveth Web3 House,0,0.0,49689.64216,False,False,True,1
EthernautDAO,14670,63437.9,99379.28431,True,True,True,3
Giveth,24450,129814.43,149068.9265,True,True,True,3
polynya,0,98824.31,72049.98113,False,True,True,2
Slither,0,38926.43,121739.6233,False,True,True,2
Prettier Solidity,20782,43833.72,92656.27573,True,True,True,3
Optimism Ambassadors,0,52240.79,99379.28431,False,True,True,2
Guild.xyz,0,51001.26,99379.28431,False,True,True,2
OP Reth,0,0.0,149068.9265,False,False,True,1
Ipsilon,20782,23531.25,99379.28431,True,True,True,3
Small Brain Games,0,28260.7,114285.1832,False,True,True,2
Blobscan,0,40012.19,99379.28431,False,True,True,2
Mirror,0,0.0,138983.9167,False,False,True,1
Keccak hashing,0,62838.16,81987.90956,False,True,True,2
Candide,0,37888.81,99379.28431,False,True,True,2
Ethereum on ARM,0,0.0,133449.9812,False,False,True,1
EthereumETL,0,31044.49,99379.28431,False,True,True,2
Commons Stack,0,60038.39,69565.49902,False,True,True,2
Immunefi,0,0.0,129193.0696,False,False,True,1
blst Cryptography Library,23227,40614.0,64596.5348,True,True,True,3
Open Source Observer,0,0.0,127914.0582,False,False,True,1
ChainList,0,49979.68,76445.52687,False,True,True,2
Department of Decentralization,35452,143507.74,124224.1054,True,True,True,3
RadicalxChange Foundation,0,70988.29,52755.98997,False,True,True,2
Ethereum Cat Herders,0,0.0,124224.1054,False,False,True,1
Pocket Network,0,58180.59,61771.18175,False,True,True,2
Safe (previously Gnosis Safe),0,119584.01,0.0,False,True,False,1
BasePaint,0,0.0,115058.354,False,False,True,1
CharmVerse,0,0.0,109317.2127,False,False,True,1
Umbra,0,34177.99,74534.46323,False,True,True,2
RainbowKit,0,9227.83,99379.28431,False,True,True,2
Aerodrome Finance,0,0.0,104348.2485,False,False,True,1
Optimism Community Governance Calls (Michael),0,56339.4,47702.05647,False,True,True,2
Pairwise,0,7805.18,96208.58825,False,True,True,2
Kwenta,0,0.0,99876.18073,False,False,True,1
Wallet Abstraction,0,0.0,99379.28431,False,False,True,1
Tally,0,0.0,99379.28431,False,False,True,1
Optimistic Indexer,0,0.0,99379.28431,False,False,True,1
Fe,0,0.0,99379.28431,False,False,True,1
Velodrome,0,0.0,99379.28431,False,False,True,1
Vectorized,0,45018.75,99379.28431,False,True,True,2
StreamETH,0,0.0,99379.28431,False,False,True,1
Yearn,0,0.0,99379.28431,False,False,True,1
Coordinape,0,0.0,99379.28431,False,False,True,1
Ronan Sandford,0,0.0,99379.28431,False,False,True,1
Synthetix,0,0.0,99379.28431,False,False,True,1
Waffle,0,0.0,99379.28431,False,False,True,1
Secureum,0,0.0,99379.28431,False,False,True,1
ZORA,0,0.0,99379.28431,False,False,True,1
Zuzalu,0,0.0,99379.28431,False,False,True,1
