Address,Badgeholder,Status,Created at,Updated at,Published at,Metrics in ballot,Metrics viewed,Os multiplier,Ballot content,Signature,Payload
0x55aed0ce035883626e536254dda2f23a5b5d977f,true,SUBMITTED,2024-06-30T16:59:46.549Z,2024-07-02T09:27:37.745Z,2024-07-02T09:27:37.745Z,16,8,1.8,"[{""trusted_daily_active_users"":2},{""trusted_monthly_active_users"":1},{""trusted_transaction_count"":3},{""transaction_count"":6},{""log_gas_fees"":30},{""log_trusted_transaction_count"":4},{""gas_fees"":10},{""power_user_addresses"":3},{""trusted_transaction_share"":3},{""trusted_users_onboarded"":12},{""daily_active_addresses"":6},{""monthly_active_addresses"":3},{""recurring_addresses"":6},{""openrank_trusted_users_count"":2},{""trusted_recurring_users"":5},{""log_transaction_count"":4}]",0x79e26338bf41c0cb4ac15030f1fb6eb932ade1e33e4aadfacd67b827505db59020fa6377a95d79e86c71733f65f73fd1d23b3dcc7ec6ef8645b90c0ef26eddc51c,"{""allocations"":[{""trusted_daily_active_users"":2},{""trusted_monthly_active_users"":1},{""trusted_transaction_count"":3},{""transaction_count"":6},{""log_gas_fees"":30},{""log_trusted_transaction_count"":4},{""gas_fees"":10},{""power_user_addresses"":3},{""trusted_transaction_share"":3},{""trusted_users_onboarded"":12},{""daily_active_addresses"":6},{""monthly_active_addresses"":3},{""recurring_addresses"":6},{""openrank_trusted_users_count"":2},{""trusted_recurring_users"":5},{""log_transaction_count"":4}],""os_only"":false,""os_multiplier"":1.8}"
0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f,true,SUBMITTED,2024-06-29T15:44:59.942Z,2024-06-29T15:45:57.977Z,2024-06-29T15:45:57.977Z,7,16,1,"[{""trusted_users_onboarded"":20},{""trusted_recurring_users"":6},{""openrank_trusted_users_count"":6},{""gas_fees"":50},{""trusted_transaction_share"":6},{""trusted_transaction_count"":6},{""trusted_daily_active_users"":6}]",0x9841ba7d0cfbc7933ef05bef58c49423ba26169fa66578e9fea3300c4c4aa4e47d8147c3f670ca4cf48f4dc0756fc8c146cd384c25ada6390a5b1c004716ebbd1b,"{""allocations"":[{""trusted_users_onboarded"":20},{""trusted_recurring_users"":6},{""openrank_trusted_users_count"":6},{""gas_fees"":50},{""trusted_transaction_share"":6},{""trusted_transaction_count"":6},{""trusted_daily_active_users"":6}],""os_only"":false,""os_multiplier"":1}"
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,true,SUBMITTED,2024-07-03T15:47:12.813Z,2024-07-03T15:47:55.494Z,2024-07-03T15:47:55.494Z,4,0,1,"[{""gas_fees"":25.002499750025},{""log_transaction_count"":24.99500049995},{""transaction_count"":25},{""log_gas_fees"":25.002499750025}]",0x7f54abc8dcd3711d71e0e592a9d34662a985a53b6acff7bf6c91013d484f178a24f0da6163274f03e42e65172e1dc3e914cf5703fb64401f7e99ef07a51a1e811c,"{""allocations"":[{""gas_fees"":25.002499750025},{""log_transaction_count"":24.99500049995},{""transaction_count"":25},{""log_gas_fees"":25.002499750025}],""os_only"":false,""os_multiplier"":1}"
0xd8da6bf26964af9d7eed9e03e53415d37aa96045,true,SUBMITTED,2024-07-11T12:29:41.116Z,2024-07-11T12:30:08.007Z,2024-07-11T12:30:08.007Z,3,0,1,"[{""openrank_trusted_users_count"":33.335},{""trusted_recurring_users"":33.335},{""trusted_users_onboarded"":33.33333333333334}]",0xd99fb446d6e109733d937dc661240c3ad13dfa75732d40a4048bafdda7be1fab166467fbf259ef0b8c197397029c65bce6787180277f5d9b65dbdbe381ea68601b,"{""allocations"":[{""openrank_trusted_users_count"":33.335},{""trusted_recurring_users"":33.335},{""trusted_users_onboarded"":33.33333333333334}],""os_only"":false,""os_multiplier"":1}"
0x616cad18642f45d3fa5fcaad0a2d81764a9cba84,true,SUBMITTED,2024-06-29T01:50:57.995Z,2024-07-10T22:07:39.974Z,2024-07-10T22:07:39.974Z,4,16,3,"[{""trusted_recurring_users"":40},{""transaction_count"":10},{""trusted_users_onboarded"":10},{""gas_fees"":40}]",0x04e7634d51800b606e21615c8cb23086b9e2c49c22d49cebd4b993a4936e292541aaf040b440be546ff22e94066d5dadd6fe50f609be43afaf8e1c63adb24e821b,"{""allocations"":[{""trusted_recurring_users"":40},{""transaction_count"":10},{""trusted_users_onboarded"":10},{""gas_fees"":40}],""os_only"":false,""os_multiplier"":3}"
0x1f5d295778796a8b9f29600a585ab73d452acb1c,true,SUBMITTED,2024-06-30T08:56:32.275Z,2024-06-30T09:14:57.016Z,2024-06-30T09:14:57.016Z,6,1,3,"[{""log_gas_fees"":16},{""trusted_recurring_users"":17},{""transaction_count"":17},{""power_user_addresses"":17},{""log_transaction_count"":17},{""trusted_users_onboarded"":16}]",0x856860c8bd407f2b301aa995c8130dee697616628241d1ca9ce7f845c29b39c25466df9785dcfc3577f1799934788139668bb17612cc1dd12828386fc1a63a441b,"{""allocations"":[{""log_gas_fees"":16},{""trusted_recurring_users"":17},{""transaction_count"":17},{""power_user_addresses"":17},{""log_transaction_count"":17},{""trusted_users_onboarded"":16}],""os_only"":false,""os_multiplier"":3}"
0x146cfed833cc926b16b0da9257e8a281c2add9f3,true,SUBMITTED,2024-07-11T10:29:25.861Z,2024-07-11T10:30:21.457Z,2024-07-11T10:30:21.457Z,3,3,3,"[{""trusted_transaction_count"":33.335},{""openrank_trusted_users_count"":33.33333333333334},{""trusted_recurring_users"":33.335}]",0xa3f8ce3b2d2424c10891d51f925c7d493e1b88ae359d06db3e1c117b34a4117f261a7890701b69a4150efb0437f6a241c93429918ea46951b9af0e3de8ea538a1b,"{""allocations"":[{""trusted_transaction_count"":33.335},{""openrank_trusted_users_count"":33.33333333333334},{""trusted_recurring_users"":33.335}],""os_only"":false,""os_multiplier"":3}"
0x07fda67513ec0897866098a11dc3858089d4a505,true,SUBMITTED,2024-07-09T07:37:57.355Z,2024-07-09T08:43:40.365Z,2024-07-09T08:43:40.365Z,4,3,1.5,"[{""log_gas_fees"":50},{""monthly_active_addresses"":20},{""trusted_users_onboarded"":15},{""recurring_addresses"":15}]",0xa29ffb356b775fc9a49813e15ff81755b9f8e71d43405d096b0b14bd8b1c9f3c2f863ff27643898dfa716e13fc988fb28a1ce3081342e1a5ae86a19ffd92ee251b,"{""allocations"":[{""log_gas_fees"":50},{""monthly_active_addresses"":20},{""trusted_users_onboarded"":15},{""recurring_addresses"":15}],""os_only"":false,""os_multiplier"":1.5}"
0x69e271483c38ed4902a55c3ea8aab9e7cc8617e5,true,SUBMITTED,2024-06-28T13:25:48.734Z,2024-07-10T14:35:56.755Z,2024-07-10T14:35:56.755Z,2,12,3,"[{""log_transaction_count"":50},{""log_gas_fees"":50}]",0xf24c4fd39776581ae8d50b6e629dd30df645721a36d06e1b4c495271525b51b565bc0a88bc6a75bb27760b65d17a21c7b7b142338d545052fc180496ff51a80f1c,"{""allocations"":[{""log_transaction_count"":50},{""log_gas_fees"":50}],""os_only"":false,""os_multiplier"":3}"
0x5d36a202687fd6bd0f670545334bf0b4827cc1e2,true,SUBMITTED,2024-07-08T06:33:36.164Z,2024-07-11T16:03:06.890Z,2024-07-11T16:03:06.890Z,4,9,2.3,"[{""gas_fees"":56},{""power_user_addresses"":14},{""recurring_addresses"":14},{""trusted_users_onboarded"":16}]",0x5c45bfeef1957cc827477b477c918b5c679caebf7a8121188a080114dcc772734e7bab5443126b39c25a15a2b87c41ee469e2d6baf7bc395cd5d86d4508cf5c01c,"{""allocations"":[{""gas_fees"":56},{""power_user_addresses"":14},{""recurring_addresses"":14},{""trusted_users_onboarded"":16}],""os_only"":false,""os_multiplier"":2.3}"
