Project_id,project_name,rf4_allocation
0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752,Layer3,500000
0x9102357674825ed224734387fbefbf41c16fe5d9764c2f7f3e897ad3325d3990,Zora,500000
0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,LI.FI,481556.2
0x62e37e96aa6e1cbfb6bd24b97c4b8f1e12cc3fe35d5388d2f041c42a12b40745,Stargate Finance,426708.1
0xd5b4c54b12bf86f6eb67fec81032809a16ff1c4b4c7f0d5898fc86367db86ca6,ODOS,359091.2
0x0fad18f37ecec4f4f4ca18e60c353eb11462363e8aa14562b5d96af54108d106,0x Protocol,349239.5
0x70a31809b59034a137b8ba57b092412879e779f0ea527f091776dca521edc7af,Sound.xyz,276764.7
0xcf10a15439ef8c56e1b6c22641544012bfd032c7b584d1160a7d743cb770875b,Synthetix,256650.1
0xb98778ca9ff41446e2bc304f7b5d27f0fa7c2bcd11df19e22d1352c06698a1f6,Account Abstraction - ERC-4337,227800.2
0x4288aacdda65af69c03b2c9b9d057e2b93ed1b7671e481b03c6a7b33349d2365,Aerodrome Finance,219455.8
0x41b2ae8a2ead458ff7c85549a9a11380353e1ae4b234666312d495326636f77a,Sushiswap,175529.8
0x945e356d400d37b4cd548ca3b53d4ee41a075c8b4befd0b8589947b6d8721ad4,Kwenta,167055.3
0x4cf98b5dec7f0f51eb6b88ecb15639bafc7320bdc6e21ac443f4c58ebeb1245b,Perp V2 - Curie,159562.3
0xcbfdcf8f724d73504d1518d5ecd7d7256b12d37e68cd84569b383bfb6e2eeea4,Dmail Network,156095.4
0x3230536d9c471231698a0fe66daeeda963282f2b594ce5a47d3dbfa53ac9d4a5,LayerZero,144549.9
0xbcb5c437d5347be21add3972512679054416805274f80e85ab8053ae79340a69,Ionic Protocol,143820.6
0x5c4cbf1cf48fea0f82cfdf33b94f43910f3062b6cca1fbfe46d4ee7e1f5506d1,Boost,140782.4
0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a,Party.app + Party Protocol,139571.8
0xefaeef1446de875ab6e50d31c8dbe776f99d884cb8cb68d50b1384067e4aeb6b,Synapse Protocol,138120.2
0x3061b642db56c507e265f03029735b0413a613bda43456a31e78128baeb18754,Aave,137982
0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,129822.5
0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd,Velodrome Finance,121073.9
0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896,Rainbow (Rainbow Router),119144.9
0x000c2ce4773defb3010a58d3800d0ec9d432189c574ba26d3103f1db44a5af6d,WOOFi,116271.1
0x1a6ff49fed19e164fd6b39f668f391cfc7fc493906e942c74997aacee91be632,Holograph Foundation,113944
0x69f13f6351489812a9052412e273ba726383744c8c482ac877c6a4e9f3b1d3ad,Kim Exchange,111197.1
0xf24315614063278ba3543e1717791132a9afa79b0e65baa01a85bcccbdfa215f,deBridge,109625
0xd54e1032bf16d649f8f8f0a7da42a249966ad4a270b4c17b24ded1e32c97b2bf,NFTs2Me,96867.3
0x182f5a5c04ccdc4739ee9f362af72d7a0f55d6b410cc9dc2b52dc7f99f06f3f9,far.quest - Farcaster Super App,94371
0x8e60d35b5b545cfb3a2264c6f95024c0359b00a3febcb7a56967934ce917783c,Manifold,86356.4
0xd61084147c0e08c9a304348584c6bd0e9974a4073bff55f6b1728730b6ce07f7,Zerion,83042.3
0x331511dd6300baf10a35b2d3f3953fd7160412b970049b3a63b64564ce26c347,Highlight,83003.2
0xeb377d41abbae2f67ac73ca422839208377f5823d189b3435874946e194324ea,Maverick Protocol,81776.4
0xd4f0252e6ac2408099cd40d213fb6f42e8fa129b446d6e8da55e673598ef14c0,Moonwell,80156.8
0x526522707f6c225a9bc7ea54e572f995eb3c794f34756f514d976c61729e8a8d,Tarot,79151.9
0x6af74a9a8d1b53bc559f1341fdc76464ad4624641f9c5749ab327040b6319d2a,LogX,77004.3
0xa2a580dae44336df1cbcb7a5303880f393068fb96116e10e180e10f5745dccd4,fxhash,75952.9
0x9da706c1c51cd59ee70b5814c10246ed1a786cb1a77339e84d96ed006b5792ce,Paragraph,75342.8
0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,Across Protocol,73919
0xc0901c8f9503f0bf91a1cca0c6c90e55af8719cc2237fb4a0bf0770b307cbd11,Basepaint,71569.5
0x120cdd8e43ae1efbafdf02eda876e1952c05a52870c8d5a8f56d9ec0f79f586d,Gitcoin Passport,69078
0x482720e73e91229b5f7d5e2d80a54eb8a722309c26dba03355359788b18f4373,RubyScore,67262.1
0xd3d00c946f62ac8cf49a85e3ab7d295d3b56f68d0b9f1fa4d595742fa372cf78,Compound Finance,65940.1
0x38c38455bb0fd71d2929fcf799279569ab5f5c5d3e1f92f8642ce87aa25accdf,Decent.xyz,62948.9
0xf7669f10edbb4ca465f6a6b5ec7e90521a0011e8b3233c43e3cd0dd22633d67f,Zeronym,61100.6
0xf1d9b05abe0f41beab3e5f4b829afd9a7ba3679829d4be72c45e0d340f7bffaa,Multicall3,59711.2
0xca3f26e1c876e821d2384a5cb699c6be494f9810301c2e2be49c232656262642,BaseSwap,56990
0x512f97f1de28ad530f752d53bf4f56ed16d34a3121f0512cd5a0485c2074b312,Extra Finance,55862.9
0x5bf4cb9356352d8d123d9925d213594088a16a5aacb407030a2b25de728217bd,Owlto Finance,55495.2
0x32544f86ae24d37df67bb6e7eb98eca5003932567225ed85e34f72bd0dc859db,Thales Protocol,54808.5
0x40666399bef533ba8b13292f910c26f5523b057ed33a51d3d90d2fe0079a1c9e,ParaSwap,54431.7
0x89d5dbc8003e6b6919273e991bba7d6a951491a408e47978a22baa046d225941,Supswap,54348.6
0x1c33980ce1d1290b5300719114dbe2cade0b820cb2b45321b715fd53d7abc8d2,Balancer,52330.9
0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e,pods.media,51574
0xf0e2abf650dc97b4223f82ef94fc6251942fff0f4d75d49d63a4017610045907,CyberConnect Protocol,50167
0x636ce56a00ff90ba0bbe96b4d581a09414da0d3ed44b71ae38b29b9be7ff20a6,Sonne Finance,48482.2
0x24ff0fb2933e55b169a80d9bd35a00a7011795387717b27445ccdc0f8660d740,OpenOcean,48285.8
0xfc54b4a9c537be25238cba3f05100b733aeee83a3eb3fdae60d651b3b913390c,Multicaller,47046.3
0x52d9a9709aeb50c10afb0f67a35f1a538bc6897c9f45161d39c37fd566fbe19a,Orderly Network,44090.4
0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,Ethereum Attestation Service (EAS),44061
0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535,Superfluid,43937.5
0x3fd997714a3a9df6dce8a21992dcae361b34432d39b7fd7e04e52eaf0aeaa588,$ENJOY,43177.8
0x229cb4bd0c69afd89939b1e1364be950a79045c8233ee9278a6224814873c314,iZUMi Finance,41589.8
0x79fa54d6c030c7803827e96933fc93b092f638079c738d13a27a08b3905b95ec,Smol,41299.1
0xc7bd0b2faaf873e06066c2a986c2b657ee4c9b31a61bfb5e91825e1dee546dbc,Coinvise,40795.7
0xa47182d330bd0c5c69b1418462f3f742099138f09bff057189cdd19676a6acd1,Hyperlane,39276.4
0x491ffd3c2e4c25ab7fbdbefe0f5fc8dc2beee5ab801287b9c6c93c9c3c810463,SwapMode,39167.9
0x895299e2f466a5b500fbd80b8da1d2d2a9be6a71bcf772aed795aa0457e8baaa,XSwap,38578
0x306977dfc31135826a031cca8ffcb1f82d8f14c9371f0362274be1dfa984f373,BLOCKS,38468.1
0x6371518c95cfa543514e01a77d470c695fac36691cffa3a45e992b2c0cc6ba72,Avantis,37664.1
0xfb9c6b3dcd75e0d0f4e0b0d4b27a4e1398ec6147eb1af3499eb8b87145bfa709,Phi,36884.7
0x6aa80764b6082947c3b2de86fe12804eb475b0afb719de50b9eed60b86f20535,Gitcoin,36226.8
0xf900c29f3adf3153dbfbd974303e590850c0d2ced1966490c705290a63ffea1b,Overnight Finance,36109.5
0x4bf2ac1013cbae40d5fd671442d4bf276e389de415b4b070c5038b3e9851667d,Alien Base,32893
0x01d8c3bc48ed5f94c260dcc8698eb61f48b06f70b0596c65fbcb1f369c092be9,Ironclad Finance,32877.4
0x46cd8d30b17201a2c573336842ad0e4ee866eb51d885027efe9dff78bff1c086,Builder Protocol,31748.6
0xab1ddf597f6539acc5ad601c2a6d2899c0475cfd9cc3b837939b1084ba5d7a36,Reserve Protocol,30868.8
0x30769523b16315b6404ce3c6dbaf610028acdf3133dca8a4d427e0d19d3628c9,Beefy,29956.7
0xaf344305f30af57f984af95f7c8570fdfcf7520b55e605bb34095ba49f8a385a,Gloom,29452.8
0xe2cffffc3c00303412781c879691480a5e6e91f936ca073321babb01c6969080,Ham,28272.3
0x5316b19c17eba417d70b924baa6a1c467b14069968424d14fcf1409f2a308873,Bored Town,28157.4
0x35e2308213d675d5c25463a80fd318c2ae2478f47c4fabc854f23ac40df196c5,Wormhole Foundation,28129.7
0xe20f59eb1c8f9cb72e07b8d0f067bac997614fd6db06d8c031c5c9235f760dcc,L2Pass,27255.3
0x37c2292c6316d1f9b796c3eeac2049e38f31eb3dee37db0e7987854de1b001d0,NFT HOOK,27168
0x20528d941017e017af28e86bd57bec2c7c5467e6ed952941502e04493a966cb3,Gamma,27117.9
0x8595f830f4d1716621d19bca6394f304837133fb473d8fcd1699e84402df1409,SwapBased,26670.6
0x8c0d39ff0da67bf02e286f0d9e92da3470476333f185cc72c1db4923ace41901,Catalog Radio,26499.4
0x928dcd931ff2bc44a5d3b15c500adfbf8d3e3a89e4936823e0b3f053c38f978c,Hedgey,26414.3
0x4b987d79912367ada6c3fa1bf6ad1daa6d164078f8c5efc8db2128b9231087a9,Sturdy,24878.9
0x3d009f8f7c1e8a3bcbc81ca8ed60d2e86b956dd0fa68c4595f851be37052a2b5,Guild.xyz,24870.6
0x4d71401a0dbd9b3dd890fbc70baaf872d16db80af149e20f7ef1805fc94f6df6,Router Protocol,23502.2
0x15b210abdc6acfd99e60255792b2b78714f4e8c92c4c5e91b898d48d046212a4,MiniBridge,23354.9
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,23349.7
0x6435c8574014275b1d554a3ab9dd85f775fa3563258ce855d6aeb07e7918f6e5,Hypersub,22893.1
0xf1d424db61a36ef7e1bef62f6c62f00b2e5ff74ce12c9ca3d11d3dc39e7f14ea,Speedtracer,20724.5
0x6a39702efd7d2658c0b26f05397ea9802317e40404e9c5f3f37ceb9b3dfc71b9,Omni X,20579.8
0xe5c133e05956a3939b9a78f4ad5d0a897a027da60a7d5e1b6276a2266211f69f,BMX by Morphex,19870.8
