Category,Project,Allocation
ETHEREUM_CORE_CONTRIBUTIONS,0x4b4627904b97d79cf68f11637d19d05bdb1bc2499e2c16df0c8519841ece9e21,"234,544.68"
ETHEREUM_CORE_CONTRIBUTIONS,0x3e6e0104e18f3c083a8209cbea0b2b36f51d38fd72e71604eb57d757581998e3,"223,384.19"
ETHEREUM_CORE_CONTRIBUTIONS,0xb70d28d9ff1d684d80f2c34512d914652c7e8af6bd8ecc64f44f61ba9cd43f52,"204,725.25"
ETHEREUM_CORE_CONTRIBUTIONS,0x5f8e06ced087848712b56730976a7a31f3fbd14a862a75174d6e7fc56eebc627,"163,047.79"
ETHEREUM_CORE_CONTRIBUTIONS,0xa19d926c47b96113cac94ca5e5ef0448de6a0dae08100e1a4db25744352e6ed1,"155,898.10"
ETHEREUM_CORE_CONTRIBUTIONS,0x0b0732b7b9d8521f68d5b19a99bd6a62d0b66d8035e21596fc599c02060b7e00,"139,506.13"
ETHEREUM_CORE_CONTRIBUTIONS,0x8687895d7e9295384b77eea6a3ec763a9b7ac88cc5667104d6746c654acdacd3,"139,506.13"
ETHEREUM_CORE_CONTRIBUTIONS,0x8d73a6f4342f92358b4a46e90336ce2e858d844fc78d3ca5d46f94ac09757918,"131,833.29"
ETHEREUM_CORE_CONTRIBUTIONS,0x1d333bf10026574b8df913bd83cff4c7e737fa0f2e18f55659672b6c001478eb,"124,160.46"
ETHEREUM_CORE_CONTRIBUTIONS,0xdbc857989b31f11432bed73b26e7316ce7aa749662088b0b95739250d6aff9ef,"121,021.57"
ETHEREUM_CORE_CONTRIBUTIONS,0x15ad7707cbebf66f201e96a81fb821bd0afab6a6e93dc63a82f787bd09dbb53f,"121,021.57"
ETHEREUM_CORE_CONTRIBUTIONS,0x11c3d1437e8ac8ee38b29886eeb14061c06e372a5d5a08ec629d5fdeef8cd1f6,"106,024.66"
ETHEREUM_CORE_CONTRIBUTIONS,0x716ad2474c6acff63481ec2283e01a2c4bef79250a1e85119324edae7b8d53ce,"102,362.62"
ETHEREUM_CORE_CONTRIBUTIONS,0x056236fa3b7b2517f22e884bf78e048e6a29f58f882d5cc186afec84f632664b,"93,469.11"
ETHEREUM_CORE_CONTRIBUTIONS,0x99f2af658ef373b4c227972a458db4a6149fb7179103ad7418c7d3185d0bfeb5,"87,191.33"
ETHEREUM_CORE_CONTRIBUTIONS,0xefe90dc598c4aa16089ecd6f57fa5270388d42f36e1c5db7f00bacc8f1d46832,"83,354.91"
ETHEREUM_CORE_CONTRIBUTIONS,0x26745e0179576c46f9e9c310d24f2a44091c4c96a96ea7dee908d5b935301df3,"76,379.61"
ETHEREUM_CORE_CONTRIBUTIONS,0xe8819060824137f5b433d8afa05360173be11509f53358a249c5aa470bb8f446,"70,101.83"
ETHEREUM_CORE_CONTRIBUTIONS,0x2e12440c85ca56b172a63d1a17061f858e1111f5eb97efc47d4c1bb223ff52e9,"69,753.07"
ETHEREUM_CORE_CONTRIBUTIONS,0xb79e4919dfe7b72d966ad36ff7aa4619204a47d7e281f9bf955114a366f7189b,"69,753.07"
ETHEREUM_CORE_CONTRIBUTIONS,0x59b05c5888d0f16bedd7fb467b1e823a76b591b7e9b5b066b3017377ee4f692a,"69,753.07"
ETHEREUM_CORE_CONTRIBUTIONS,0x42f449a7238b2d19785a41371e6902a0e782bbf28270d8ff1690b87a43a0b80a,"67,311.71"
ETHEREUM_CORE_CONTRIBUTIONS,0xda3416979010249d4c8095d87a539006743741be970d41c0b5affca2fdfbaeef,"64,172.82"
ETHEREUM_CORE_CONTRIBUTIONS,0x0403926badb0cd173b98ea187d30423bfbd1d8a7c9c6ba5e874d0ed3872b58c7,"62,603.38"
ETHEREUM_CORE_CONTRIBUTIONS,0x19c6b7b2fd40036f3a778cf3c3998ad1ecb19dc285cebdd164b52939fa4ea3b4,"57,720.66"
ETHEREUM_CORE_CONTRIBUTIONS,0x4b61cd661477522b1243f51329dbaaef13edd3b43130746801ece70ce4d79cb9,"56,325.60"
ETHEREUM_CORE_CONTRIBUTIONS,0xe65a2684781bdc49edc859a49d1e3f692a0f58fabcd8fe49098df3a0f9ad69a6,"55,104.92"
ETHEREUM_CORE_CONTRIBUTIONS,0xe69b6f216d79523341253eb2cfec0ff615d0d272723ebc463140702b961d65c0,"52,314.80"
