badgeholder_address,round_allocation,category_allocation,declared_COIs
0x75cac0ceb8a39ddb4942a83ad2aafaf0c2a3e13f,6000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '40.84'}, {'OP_STACK_TOOLING': '38.82902504874756'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '20.33'}]",[]
0x490c91f38ec57e3ab00811e0c51a62bfed7e81f4,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '60'}, {'OP_STACK_TOOLING': '20'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20'}]",[]
0x5c30f1273158318d3dc8ffcf991421f69fd3b77d,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_TOOLING': '33.33'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}]",[]
0xaef766ce8047a11cbb0f8264dea7559fd0b48444,7250000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '39.34'}, {'OP_STACK_TOOLING': '32.33333333333334'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '28.33'}]",[]
0x19f8a76474ebf9effb269ec5c2b935a3611d6779,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'OP_STACK_TOOLING': '20'}]",[]
0xad4f365a550835d40dc2e95fdffa1e4edd3fbe14,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '41.34'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40.66'}, {'OP_STACK_TOOLING': '18'}]",[]
0xa3eac0016f6581ac34768c0d4b99ddcd88071c3c,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '100'}, {'OP_STACK_TOOLING': '0'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '0'}]",[]
0x55aed0ce035883626e536254dda2f23a5b5d977f,5400000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '48'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '37'}, {'OP_STACK_TOOLING': '15'}]",[]
0x894aa5f1e45454677a8560dde3b45cb5c427ef92,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'OP_STACK_TOOLING': '20'}]",[]
0x961aa96febee5465149a0787b03bfa14d8e9033f,3000000,"[{'OP_STACK_TOOLING': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '15'}]",[]
0xac469c5df1ce6983ff925d00d1866ab780d402a4,8000000,"[{'OP_STACK_TOOLING': '45'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '25'}]",[]
0x7899d9b1181cbb427b0b1be0684c096c260f7474,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'OP_STACK_TOOLING': '25'}]",[]
0x396a34c10b11e33a4bf6f3e6a419a23c54ad34fb,5000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '60'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '25'}, {'OP_STACK_TOOLING': '15'}]",[]
0x5872ce037211233b9f6f5095c25988021f270c21,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '64'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '18'}, {'OP_STACK_TOOLING': '18'}]",[]
0xd35e119782059a27fead4edda8b555f393650bc8,4350000,"[{'OP_STACK_TOOLING': '45'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20'}]",[]
0x07fda67513ec0897866098a11dc3858089d4a505,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '45'}, {'OP_STACK_TOOLING': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '15'}]",[]
0x60ec4fd8069513f738f3a0f41b9e00c294e74bf3,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}, {'OP_STACK_TOOLING': '33.33'}]",[]
0xa3b5c58cef73ada157ceaecdeaa68d7ea2fc0592,2000000,"[{'OP_STACK_TOOLING': '47.33'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '30.33895005249737'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '22.33'}]",[]
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}, {'OP_STACK_TOOLING': '33.33'}]",['0xe69b6f216d79523341253eb2cfec0ff615d0d272723ebc463140702b961d65c0']
0x5a5d9ab7b1bd978f80909503ebb828879daca9c3,6900000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '45.51000000000001'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '44.45'}, {'OP_STACK_TOOLING': '10.04'}]",[]
0x64fed9e56b548343e7bb47c49ecd7ffa9f1a34fe,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '50'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '30'}, {'OP_STACK_TOOLING': '20'}]",[]
0xc2e2b715d9e302947ec7e312fd2384b5a1296099,4000000,"[{'OP_STACK_TOOLING': '45'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '45'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '10'}]",[]
0x53e0b897eae600b2f6855fce4a42482e9229d2c2,7000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '60'}, {'OP_STACK_TOOLING': '20'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20'}]",[]
