Category,Project,Allocation
GOVERNANCE_ANALYTICS,0x1bd2ea66a88fa468d299997ef5a79bdf157b7d4b0f91d99410daaacb3f998358,"87,994.94"
GOVERNANCE_ANALYTICS,0x2c269a72b290769e77786afdea519aab34b4b96964d0b028a4bdfdac24a147e2,"77,380.96"
GOVERNANCE_INFRA_AND_TOOLING,0xc68d5a1b9170d4f560a4e7b18901e8cdcefca36667dd4d9559ea473020807594,"65,619.78"
GOVERNANCE_ANALYTICS,0xfc7e48b9011f363eda1c039a0a30106542739b7509aaa0444343f9c1341c5cab,"60,954.56"
GOVERNANCE_LEADERSHIP,0x37e91d46de30b951a7736642b114b73763cccea2cbbfb6ff7553556935af6e7d,"58,279.75"
GOVERNANCE_LEADERSHIP,0xf7c15b9491f4f831f3277ecdf856a8f09e2b762d41153a899dd59a20887af3d4,"57,842.65"
GOVERNANCE_INFRA_AND_TOOLING,0x7ebd785a295d691be7045ee2cb3b12e8fa6175bac58a8f285ede6221f8a4e906,"56,402.07"
GOVERNANCE_LEADERSHIP,0x17a6e399332107b693ba8923ae3b21852a87fcd532bacfa5c98afa086c443d18,"56,385.66"
GOVERNANCE_LEADERSHIP,0x297c7878e1911034233762d2fe74d1c9920c45339c5dbc2435bf6485fa4bfb88,"55,584.31"
GOVERNANCE_ANALYTICS,0x273b95d847456e4ada5b7230fb5750eb9b943a0974f72d9fcfe59337785aaf6c,"52,564.47"
GOVERNANCE_INFRA_AND_TOOLING,0x1a34881e1e66e3e9ef20d1d441ce2ef984adf05a25ce8ccae0e483d837249990,"51,825.45"
GOVERNANCE_INFRA_AND_TOOLING,0x8922c80674df0e50e56cd703e5073ca21073d7fb518b0a3f35fe0f97327d5d43,"50,858.56"
GOVERNANCE_LEADERSHIP,0x7cfc058d21a44d62f3fe2d54a6124907e03e9f45b0d2f2a5d2f678909ead6908,"50,776.23"
GOVERNANCE_INFRA_AND_TOOLING,0x324d0b95e11764e558a717df15e07fd2a5ba43a2398bc3c7f2ca4bc67aa00f37,"49,762.74"
GOVERNANCE_INFRA_AND_TOOLING,0x7e3dd2a1a16c51177e08b3275cc2ae1b037450b499988d0042a7f9451d20125d,"46,862.07"
GOVERNANCE_ANALYTICS,0x59718022161d39195c341d8c9a36f744c9070f73e0ba8d52553d594380aa8460,"46,398.25"
GOVERNANCE_ANALYTICS,0x49a166e41697f3feea77bb9003d154e47a2ca289c6ecee36766204acf48e8147,"43,972.20"
GOVERNANCE_LEADERSHIP,0x4b2e48f69b24d7c0548dc0b8ce58e33483e85065362e32024275bfab7d136b1b,"43,964.79"
GOVERNANCE_LEADERSHIP,0xffc5f0d74c0f9ea73e6305809a5e6cf0612d2186ba7d7d4902f28aa7f8a8bb86,"39,994.48"
GOVERNANCE_LEADERSHIP,0x8f86175d7148863c6d4cdf89ceb87b051d9fe6ccf73214f4128a9b6c1dfc85c1,"39,265.98"
GOVERNANCE_LEADERSHIP,0x60efd5b2ab055c8ce8425e10290f6e10e077ef2b822f630ce6a89e3b03aaa27d,"38,974.58"
