date,round,application_name,amount_op,oso_project_slug,application_url
2025-04-05,retrofunding_s7_devtooling,Aave,1496.68,aave,https://atlas.optimism.io/project/0x3061b642db56c507e265f03029735b0413a613bda43456a31e78128baeb18754
2025-04-05,retrofunding_s7_devtooling,Abi Ninja,2984.48,buidlguidl,https://atlas.optimism.io/project/0xafb4dc19ccc63057da88110df49234b311044bc73b070041bb8df03e583943ab
2025-04-05,retrofunding_s7_devtooling,Aderyn,2818.18,cyfrin,https://atlas.optimism.io/project/0xa7d78d566bfa319479ec048c94c3d8c1f4d628a9344ba157fc4974dbf472dc3e
2025-04-05,retrofunding_s7_devtooling,Ape Framework,18131.74,apeworx,https://atlas.optimism.io/project/0xa0b16714baef75d97ec07fd48eaf42e79df92fe2a3c2d725d2388ede587ea54c
2025-04-05,retrofunding_s7_devtooling,Aragon OSx,1231.66,aragon,https://atlas.optimism.io/project/0xa08c7ab7824d147d6cb87ffb4e86cec454a030d48b8c395bad6d64456be3d911
2025-04-05,retrofunding_s7_devtooling,Blockscout open-source block explorer,4339.12,blockscout,https://atlas.optimism.io/project/0x663e4d25ca3f327365240471b4831ea3c989cb132bbf6ae8f5c1e15268591795
2025-04-05,retrofunding_s7_devtooling,Cannon,15676.1,usecannon,https://atlas.optimism.io/project/0xc7798704a6d730cea776c4866a9636bfa04c1201e29b6b0c99cc3603bc1bca25
2025-04-05,retrofunding_s7_devtooling,Create2Deployer,1245.33,create2deployer,https://atlas.optimism.io/project/0x513265758a3804184b6a0771d99c1a4b04d3267bacd4b914e89ff991de229f6a
2025-04-05,retrofunding_s7_devtooling,CreateX,4408.2,createx,https://atlas.optimism.io/project/0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3
2025-04-05,retrofunding_s7_devtooling,Dappnode,1342.02,dappnode,https://atlas.optimism.io/project/0xf839a585342327848d4541a6fcc315404e879537a60a1370f2cd45a94283a1ba
2025-04-05,retrofunding_s7_devtooling,Ethereum Attestation Service (EAS),16284.05,ethereum-attestation-service,https://atlas.optimism.io/project/0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5
2025-04-05,retrofunding_s7_devtooling,Ethers.js,66666.67,ethers-io,https://atlas.optimism.io/project/0xa3d07f453f70d844196d89d79848aa2e70a0bd8b38bf0f493cba1547bb3bca5e
2025-04-05,retrofunding_s7_devtooling,Fe Language,2557.6,fe-ethereum,https://atlas.optimism.io/project/0x541b7b08401d799b87f583c102a6c94cee7105f1b29dc630de5edbbd966d7c13
2025-04-05,retrofunding_s7_devtooling,Frames.js,17950.67,framesjs,https://atlas.optimism.io/project/0x9d93ec97ef2d3bd4c2b8d95abac9ce0cf43e4f3eb1f05709f8282da8200e69ee
2025-04-05,retrofunding_s7_devtooling,Gelato Relay SDK,3240.2,gelato,https://atlas.optimism.io/project/0x7697147650b4b717ce5675982f2102da7c030498628fe37e3f403f875622b7f7
2025-04-05,retrofunding_s7_devtooling,Hardhat,66666.67,hardhat-nomicfoundation,https://atlas.optimism.io/project/0x670a2982f6d7786b58a8399bcabc23246365b21e533a97945e055791fc235e64
2025-04-05,retrofunding_s7_devtooling,IPFS,47934.97,ipfs,https://atlas.optimism.io/project/0x7f330267969cf845a983a9d4e7b7dbcca5c700a5191269af377836d109e0bb69
2025-04-05,retrofunding_s7_devtooling,Impersonator.xyz,1418.48,impersonator-eth,https://atlas.optimism.io/project/0x07222a857f4522026d91faec337e3cb8cf6ec5f7afb823e0742e1a6c398b81ff
2025-04-05,retrofunding_s7_devtooling,Kontrol - formal verification tool based on Foundry and KEVM,1467.67,runtimeverification,https://atlas.optimism.io/project/0x7348ae42266ff626319e8ea5398343b847603b3cc7101b03d8e4fb2b75ea8db3
2025-04-05,retrofunding_s7_devtooling,LI.FI,22314.34,lifinance,https://atlas.optimism.io/project/0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806
2025-04-05,retrofunding_s7_devtooling,Maintaining simple-optimism-node,2793.08,simple-optimism-node-smartcontracts,https://atlas.optimism.io/project/0x09b95c7697625da4915338750c5f78446817a3634cb38bc9155e26bbbc0c87f1
2025-04-05,retrofunding_s7_devtooling,MerkleTreeJS,32182.15,merkletreejs,https://atlas.optimism.io/project/0xc377ed1b705bcc856a628f961f1e7c8ca943e6f3727b7c179c657e227e8e852c
2025-04-05,retrofunding_s7_devtooling,Multicaller,3904.57,multicaller-vectorized,https://atlas.optimism.io/project/0xfc54b4a9c537be25238cba3f05100b733aeee83a3eb3fdae60d651b3b913390c
2025-04-05,retrofunding_s7_devtooling,Nethereum,2952.76,nethereum,https://atlas.optimism.io/project/0x4a5e771af86cf1938056b43cddbf0018dca1376d578f631f7449fe10ac4958ed
2025-04-05,retrofunding_s7_devtooling,OpenZeppelin Contracts,66666.67,openzeppelin,https://atlas.optimism.io/project/0x939241afa4c4b9e1dda6b8250baa8f04fa8b0debce738cfd324c0b18f9926d25
2025-04-05,retrofunding_s7_devtooling,Otterscan,2401.5,otterscan,https://atlas.optimism.io/project/0xaed5941b7a9f20de83f5c839bda507be43cbf41777fc623abf4bf05773298826
2025-04-05,retrofunding_s7_devtooling,PRBMath,16665.57,prb-math-paulrberg,https://atlas.optimism.io/project/0x7e917a2d0718401c9fe2a82f43ea558f5128f251b1e658c76dc7ff9a5e9fd993
2025-04-05,retrofunding_s7_devtooling,Party.app + Party Protocol,1713.76,party-dao,https://atlas.optimism.io/project/0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a
2025-04-05,retrofunding_s7_devtooling,Ponder,29896.2,ponder-sh,https://atlas.optimism.io/project/0x351967474a454b494260a488f3ceb77d993580a4fe79fb6b6d132c70634bc516
2025-04-05,retrofunding_s7_devtooling,Remix Project,1875.4,remix-ethereum,https://atlas.optimism.io/project/0x754c37e401e2527ab24b9d7ca3e042bfcbfebeef54a533f8833d46242d2c3017
2025-04-05,retrofunding_s7_devtooling,Revm,23633.29,revm-bluealloy,https://atlas.optimism.io/project/0xb2d109759fe14e11ac5cc100ab6006321ebdd7ffdefbd2efac93a002105f8e92
2025-04-05,retrofunding_s7_devtooling,Ronan Sandford,51053.6,wighawag,https://atlas.optimism.io/project/0x9b639cc6061e41a1d12adb39619a2fddb7005074cf965a3a6f4eabc6eea31112
2025-04-05,retrofunding_s7_devtooling,Rust Libp2p,25098.42,libp2p,https://atlas.optimism.io/project/0xdf1bb03d08808e2d789f5eac8462bdc560f1bb5b0877f0cf8c66ab53a0bc2f5c
2025-04-05,retrofunding_s7_devtooling,Snapshot,8161.29,snapshot-labs,https://atlas.optimism.io/project/0x5e6c436e48e56d6d9622ba5d0be0035c314e2b29d2afc8f5f1ee8ac75cd42532
2025-04-05,retrofunding_s7_devtooling,Solady,33705.5,solady-vectorized,https://atlas.optimism.io/project/0x9151666888d0ca532a529be98a50d2eb992988117e202163f865fa9a27eb7149
2025-04-05,retrofunding_s7_devtooling,Solhint,56487.95,solhint-protofire,https://atlas.optimism.io/project/0xfa7d950cfda2c634b052b6c07e75daaa95dd22ac1f220b6862cfd24221d4cabc
2025-04-05,retrofunding_s7_devtooling,Solidity,66666.67,solidity-ethereum,https://atlas.optimism.io/project/0xcc8d03e014e121d10602eeff729b755d5dc6a317df0d6302c8a9d3b5424aaba8
2025-04-05,retrofunding_s7_devtooling,Solidity Bytes Arrays Utils Library,19654.01,solidity-bytes-utils-gnsps,https://atlas.optimism.io/project/0xd63cb23c26cc3bda03b1cc2971589fd26c9d22f3bbc8f1ff2bb74613e6d1c36d
2025-04-05,retrofunding_s7_devtooling,Sourcify,3637.22,sourcify-ethereum,https://atlas.optimism.io/project/0x51cda5996ef1a2ccd8fcf4ee5792337695599454c83eb1218c3ad4388dcb5bf5
2025-04-05,retrofunding_s7_devtooling,Swiss-Knife.xyz,2065.04,swiss-knife-xyz,https://atlas.optimism.io/project/0x93c4efb5e2d7416c56ecdcd8244be8faf924194d65b514d90a7a51f6797cc012
2025-04-05,retrofunding_s7_devtooling,Synpress,25137.85,synpress-synthetixio,https://atlas.optimism.io/project/0xbb067b01988521110c91737f058e7301f608be231d850a72af1516bd034d161c
2025-04-05,retrofunding_s7_devtooling,The Ethernaut,3251.77,ethernaut-openzeppelin,https://atlas.optimism.io/project/0x17fb589e599fe05e532b90c121eccc55b1249301e783dae226bad698872322da
2025-04-05,retrofunding_s7_devtooling,Titanoboa,12491.5,vyperlang,https://atlas.optimism.io/project/0x202a80f0f57630d04a26464d6492b3399059ca1187943032c37652eb2468a76f
2025-04-05,retrofunding_s7_devtooling,Velodrome Finance,1365.9,velodrome,https://atlas.optimism.io/project/0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd
2025-04-05,retrofunding_s7_devtooling,Viem: TypeScript Interface for Ethereum,66666.67,wevm,https://atlas.optimism.io/project/0x6bd057da522918a4675396313ae33a2f2788a1ceeb3bd7ae228015e3eb317a7d
2025-04-05,retrofunding_s7_devtooling,Vscode Solidity Extension,826.49,vscode-solidity,https://atlas.optimism.io/project/0x819775803938d78eaa95809971ce94cae6a54b4df58505fa36153ffa1d55e12c
2025-04-05,retrofunding_s7_devtooling,Vyper,17163.41,vyperlang,https://atlas.optimism.io/project/0x9ca1f7b0e0d10d3bd2619e51a54f2e4175e029c87a2944cf1ebc89164ba77ea0
2025-04-05,retrofunding_s7_devtooling,Wagmi: Reactive primitives for Ethereum apps ,66666.67,wevm,https://atlas.optimism.io/project/0xc0615947773148cbc340b175fb9afc98dbb4e0acd31d018b1ee41a5538785abf
2025-04-05,retrofunding_s7_devtooling,WhatsABI,18723.56,whatsabi-shazow,https://atlas.optimism.io/project/0xabdfa10e699db5127100da1dd2403692afe8d86e793d57780f1c7e93437a73a0
2025-04-05,retrofunding_s7_devtooling,beaconcha.in,1234.34,beacon-chain,https://atlas.optimism.io/project/0xdd81f0fbb21c949e5d67176b22a39cfdc7c774349214a450df78eb31174413db
2025-04-05,retrofunding_s7_devtooling,bulloak,3077.88,bulloak-alexfertel,https://atlas.optimism.io/project/0x740bebbc731ec56dcc17c7d429656220a73960022c3809edf324bd8120285722
2025-04-05,retrofunding_s7_devtooling,ethereum-bloom-filters,63209.14,ethereum-bloom-filters-joshstevens19,https://atlas.optimism.io/project/0x4c9626843c4e3f3c96d80b0ec6b1d10b7682fc9b6d67ab61ece5a87648535b1f
2025-04-05,retrofunding_s7_devtooling,ethereum-multicall,19407.78,ethereum-multicall-joshstevens19,https://atlas.optimism.io/project/0x37fe5886f4c77d5a5cb947deff90158c045a5d207572763187748ac4dd4bd9b9
2025-04-05,retrofunding_s7_devtooling,go-libp2p,19466.18,libp2p,https://atlas.optimism.io/project/0xc71faa1bcb4ceb785816c3f22823377e9e5e7c48649badd9f0a0ce491f20d4b3
2025-04-05,retrofunding_s7_devtooling,hardhat-gas-reporter,48494.0,hardhat-gas-reporter-cgewecke,https://atlas.optimism.io/project/0xc2d8139cd61ddc75689610ee0cca0fe37ba8bec3270beb6aac6eac91c6256f60
2025-04-05,retrofunding_s7_devtooling,hevm,780.5,hevm-ethereum,https://atlas.optimism.io/project/0x2c97e213fef2bd3f30a71edf6ed48232640368d0083dc0a134a1b59391639bde
2025-04-05,retrofunding_s7_devtooling,js-libp2p,24487.53,libp2p,https://atlas.optimism.io/project/0x5a7e7c7acb21521e99021d746740b368801cbfe531301e50bdbaafdc24a0aac5
2025-04-05,retrofunding_s7_devtooling,rindexer,7157.27,rindexer-joshstevens19,https://atlas.optimism.io/project/0x97525ec91080ddd917eaccabf9d383cf70a2f78839ab21eeabe1687e312f2132
2025-04-05,retrofunding_s7_devtooling,rotki,9517.31,rotki,https://atlas.optimism.io/project/0xc0ad090a80d748c19dce84d17f85d7b0016daa1c35f72ada2d92f469f8a77067
2025-04-05,retrofunding_s7_devtooling,solidity-coverage,53549.64,solidity-coverage-sc-forks,https://atlas.optimism.io/project/0x2bb095e1f297c71da8bd4ee15097abad3b99e299fe14cd6aa704df3f36d0ae22
2025-04-05,retrofunding_s7_devtooling,thirdweb,29523.72,third-web,https://atlas.optimism.io/project/0xc6052138bbdae5976fa2866f46b0537182d4126c4bb97485738d1b43f2276134
2025-04-05,retrofunding_s7_devtooling,web3.py,33981.16,web3py-ethereum,https://atlas.optimism.io/project/0xebe03c3d6d33cad60124b9b05ef6e2ff056293a1de3c5fa51dfbb90c86c14bf7
2025-04-05,retrofunding_s7_devtooling,xdeployer,11787.21,xdeployer,https://atlas.optimism.io/project/0x537097f27d55cb52d39b95c3ed65076349ab68aac48051d742d715456e0884d8
