date,round,application_name,amount_op,amount_usd_equiv,oso_project_slug,application_url
2025-09-08,retrofunding_s8_devtooling,Aderyn,1272.31,954.2325,cyfrin,https://atlas.optimism.io/project/0xa7d78d566bfa319479ec048c94c3d8c1f4d628a9344ba157fc4974dbf472dc3e
2025-09-08,retrofunding_s8_devtooling,Ape Framework,4461.97,3346.4775,apeworx,https://atlas.optimism.io/project/0xa0b16714baef75d97ec07fd48eaf42e79df92fe2a3c2d725d2388ede587ea54c
2025-09-08,retrofunding_s8_devtooling,Blockscout open-source block explorer,1101.25,825.9375,blockscout,https://atlas.optimism.io/project/0x663e4d25ca3f327365240471b4831ea3c989cb132bbf6ae8f5c1e15268591795
2025-09-08,retrofunding_s8_devtooling,Brownie,4735.66,3551.745,eth-brownie,https://atlas.optimism.io/project/0x5200a7351f8d195401dc04631fb83e4836f73a2794f316b2739c03807f30a78b
2025-09-08,retrofunding_s8_devtooling,Cannon,7412.47,5559.3525,usecannon,https://atlas.optimism.io/project/0xc7798704a6d730cea776c4866a9636bfa04c1201e29b6b0c99cc3603bc1bca25
2025-09-08,retrofunding_s8_devtooling,Create2Deployer,459.13,344.3475,create2deployer,https://atlas.optimism.io/project/0x513265758a3804184b6a0771d99c1a4b04d3267bacd4b914e89ff991de229f6a
2025-09-08,retrofunding_s8_devtooling,CreateX,3957.02,2967.765,createx,https://atlas.optimism.io/project/0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3
2025-09-08,retrofunding_s8_devtooling,DefiLlama,25000.0,18750.0,defi-llama,https://atlas.optimism.io/project/0xae07bfec2c3c90937679f8c8c5c32e80407c09903aa03d1b5e5a075e67592b86
2025-09-08,retrofunding_s8_devtooling,Ethereum Attestation Service (EAS),1743.67,1307.7525,ethereum-attestation-service,https://atlas.optimism.io/project/0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5
2025-09-08,retrofunding_s8_devtooling,Ethers.js,25000.0,18750.0,ethers-io,https://atlas.optimism.io/project/0xa3d07f453f70d844196d89d79848aa2e70a0bd8b38bf0f493cba1547bb3bca5e
2025-09-08,retrofunding_s8_devtooling,Fe Language,856.31,642.2325,fe-ethereum,https://atlas.optimism.io/project/0x541b7b08401d799b87f583c102a6c94cee7105f1b29dc630de5edbbd966d7c13
2025-09-08,retrofunding_s8_devtooling,Foundry,25000.0,18750.0,foundry,https://atlas.optimism.io/project/0x4562c0630907577f433cad78c7e2cc03349d918b6c14ef982f11a2678f5999ad
2025-09-08,retrofunding_s8_devtooling,Foundry MCP Server,694.6,520.95,foundry-mcp-server-praneshasp,https://atlas.optimism.io/project/0xa873dcdcc84e0022edd2f7d5cc8646667b87bf06609d506cd8e39dbd7412fa59
2025-09-08,retrofunding_s8_devtooling,Frames.js,3090.17,2317.6275,framesjs,https://atlas.optimism.io/project/0x9d93ec97ef2d3bd4c2b8d95abac9ce0cf43e4f3eb1f05709f8282da8200e69ee
2025-09-08,retrofunding_s8_devtooling,Hardhat,25000.0,18750.0,hardhat-nomicfoundation,https://atlas.optimism.io/project/0x670a2982f6d7786b58a8399bcabc23246365b21e533a97945e055791fc235e64
2025-09-08,retrofunding_s8_devtooling,IPFS,7099.43,5324.5725,ipfs,https://atlas.optimism.io/project/0x7f330267969cf845a983a9d4e7b7dbcca5c700a5191269af377836d109e0bb69
2025-09-08,retrofunding_s8_devtooling,Kontrol - formal verification tool based on Foundry and KEVM,435.47,326.6025,runtimeverification,https://atlas.optimism.io/project/0x7348ae42266ff626319e8ea5398343b847603b3cc7101b03d8e4fb2b75ea8db3
2025-09-08,retrofunding_s8_devtooling,Kurtosis,2579.33,1934.4975,kurtosis-tech,https://atlas.optimism.io/project/0x35295108e0c7b4625d650fbdabd4888417782539f56159d39ac2f0e2411f607b
2025-09-08,retrofunding_s8_devtooling,LI.FI,3856.88,2892.66,lifinance,https://atlas.optimism.io/project/0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806
2025-09-08,retrofunding_s8_devtooling,Maintaining simple-optimism-node,570.14,427.605,simple-optimism-node-smartcontracts,https://atlas.optimism.io/project/0x09b95c7697625da4915338750c5f78446817a3634cb38bc9155e26bbbc0c87f1
2025-09-08,retrofunding_s8_devtooling,Medusa,1033.05,774.7875000000000,medusa-crytic,https://atlas.optimism.io/project/0xb9996d35862a7c60282da2adf3447f043580f586fcb702ff6869896d15ef6344
2025-09-08,retrofunding_s8_devtooling,MerkleTreeJS,4615.21,3461.4075000000000,merkletreejs,https://atlas.optimism.io/project/0xc377ed1b705bcc856a628f961f1e7c8ca943e6f3727b7c179c657e227e8e852c
2025-09-08,retrofunding_s8_devtooling,Multicaller,2623.02,1967.265,multicaller-vectorized,https://atlas.optimism.io/project/0xfc54b4a9c537be25238cba3f05100b733aeee83a3eb3fdae60d651b3b913390c
2025-09-08,retrofunding_s8_devtooling,OpenRPC,3575.29,2681.4675,open-rpc,https://atlas.optimism.io/project/0x6f8f610667400044907494c879b717e806a03bf519dcfd786edc7f2fa61d6db8
2025-09-08,retrofunding_s8_devtooling,OpenZeppelin Contracts,25000.0,18750.0,openzeppelin,https://atlas.optimism.io/project/0x939241afa4c4b9e1dda6b8250baa8f04fa8b0debce738cfd324c0b18f9926d25
2025-09-08,retrofunding_s8_devtooling,Otterscan,1443.88,1082.91,otterscan,https://atlas.optimism.io/project/0xaed5941b7a9f20de83f5c839bda507be43cbf41777fc623abf4bf05773298826
2025-09-08,retrofunding_s8_devtooling,PRBMath,6696.47,5022.3525,prb-math-paulrberg,https://atlas.optimism.io/project/0x7e917a2d0718401c9fe2a82f43ea558f5128f251b1e658c76dc7ff9a5e9fd993
2025-09-08,retrofunding_s8_devtooling,Party.app + Party Protocol,1187.12,890.3400000000000,party-dao,https://atlas.optimism.io/project/0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a
2025-09-08,retrofunding_s8_devtooling,Ponder,8592.39,6444.2925,ponder-sh,https://atlas.optimism.io/project/0x351967474a454b494260a488f3ceb77d993580a4fe79fb6b6d132c70634bc516
2025-09-08,retrofunding_s8_devtooling,Prettier Solidity,10093.38,7570.035,prettier-solidity,https://atlas.optimism.io/project/0xc6cac7cd3793888032cc8a9e5aef92550beeec2598f86f1ec6972ffd5b82a990
2025-09-08,retrofunding_s8_devtooling,Remix Project,2399.8,1799.85,remix-ethereum,https://atlas.optimism.io/project/0x754c37e401e2527ab24b9d7ca3e042bfcbfebeef54a533f8833d46242d2c3017
2025-09-08,retrofunding_s8_devtooling,Revm,8440.41,6330.3075,revm-bluealloy,https://atlas.optimism.io/project/0xb2d109759fe14e11ac5cc100ab6006321ebdd7ffdefbd2efac93a002105f8e92
2025-09-08,retrofunding_s8_devtooling,Revoke.cash,1344.28,1008.21,revoke-cash,https://atlas.optimism.io/project/0xfbc74fb5d15b7b2554277371a41ee6ff1bf392377bce5fbfce140c2980cc4f64
2025-09-08,retrofunding_s8_devtooling,Ronan Sandford,11796.15,8847.1125,wighawag,https://atlas.optimism.io/project/0x9b639cc6061e41a1d12adb39619a2fddb7005074cf965a3a6f4eabc6eea31112
2025-09-08,retrofunding_s8_devtooling,Rundler,407.92,305.94,alchemyplatform,https://atlas.optimism.io/project/0x2247247c751707d897f5c0eab670426d9c1c26d84e96ac226004afbf0080cba4
2025-09-08,retrofunding_s8_devtooling,Rust Libp2p,2963.96,2222.9700000000000,libp2p,https://atlas.optimism.io/project/0xdf1bb03d08808e2d789f5eac8462bdc560f1bb5b0877f0cf8c66ab53a0bc2f5c
2025-09-08,retrofunding_s8_devtooling,Slither,8379.3,6284.475000000000,slither-crytic,https://atlas.optimism.io/project/0xdc3dce33fd5fb50cf932586d4257456ddf5040ba0955d97641646504c73dbd13
2025-09-08,retrofunding_s8_devtooling,Snapshot,6281.18,4710.885,snapshot-labs,https://atlas.optimism.io/project/0x5e6c436e48e56d6d9622ba5d0be0035c314e2b29d2afc8f5f1ee8ac75cd42532
2025-09-08,retrofunding_s8_devtooling,Solady,13946.88,10460.16,solady-vectorized,https://atlas.optimism.io/project/0x9151666888d0ca532a529be98a50d2eb992988117e202163f865fa9a27eb7149
2025-09-08,retrofunding_s8_devtooling,Solc-select,3493.14,2619.855,solc-select-crytic,https://atlas.optimism.io/project/0x2a04bac7482169a929fd70444bbfac10654d0588e022db7527566dbfc307d2e9
2025-09-08,retrofunding_s8_devtooling,Solhint,9427.19,7070.3925,solhint-protofire,https://atlas.optimism.io/project/0xfa7d950cfda2c634b052b6c07e75daaa95dd22ac1f220b6862cfd24221d4cabc
2025-09-08,retrofunding_s8_devtooling,Solidity,25000.0,18750.0,solidity-ethereum,https://atlas.optimism.io/project/0xcc8d03e014e121d10602eeff729b755d5dc6a317df0d6302c8a9d3b5424aaba8
2025-09-08,retrofunding_s8_devtooling,Solidity Bytes Arrays Utils Library,5184.22,3888.165,solidity-bytes-utils-gnsps,https://atlas.optimism.io/project/0xd63cb23c26cc3bda03b1cc2971589fd26c9d22f3bbc8f1ff2bb74613e6d1c36d
2025-09-08,retrofunding_s8_devtooling,Sourcify,724.56,543.42,sourcify-ethereum,https://atlas.optimism.io/project/0x51cda5996ef1a2ccd8fcf4ee5792337695599454c83eb1218c3ad4388dcb5bf5
2025-09-08,retrofunding_s8_devtooling,Surl,1126.54,844.905,surl-memester-xyz,https://atlas.optimism.io/project/0x5c0234455c4b86b05ed0c612ac0d7e53cd2249686305af9b2184190b781b8063
2025-09-08,retrofunding_s8_devtooling,Swiss-Knife.xyz,1290.4,967.8,swiss-knife-xyz,https://atlas.optimism.io/project/0x93c4efb5e2d7416c56ecdcd8244be8faf924194d65b514d90a7a51f6797cc012
2025-09-08,retrofunding_s8_devtooling,Synpress,7780.31,5835.2325,synpress-synthetixio,https://atlas.optimism.io/project/0xbb067b01988521110c91737f058e7301f608be231d850a72af1516bd034d161c
2025-09-08,retrofunding_s8_devtooling,Tevm,3854.79,2891.0925,evmts,https://atlas.optimism.io/project/0x2d90d9565ef127727845637425880545cfebe0931160ce25afe929f8ab415706
2025-09-08,retrofunding_s8_devtooling,The Ethernaut,1683.24,1262.43,ethernaut-openzeppelin,https://atlas.optimism.io/project/0x17fb589e599fe05e532b90c121eccc55b1249301e783dae226bad698872322da
2025-09-08,retrofunding_s8_devtooling,Titanoboa,5616.35,4212.262500000000,vyperlang,https://atlas.optimism.io/project/0x202a80f0f57630d04a26464d6492b3399059ca1187943032c37652eb2468a76f
2025-09-08,retrofunding_s8_devtooling,VSCode Solidity Inspector ,381.05,285.7875,vscode-solidity-inspector-praneshasp,https://atlas.optimism.io/project/0x3ec2d572a608cf939eaf7886402320b3b2229610c13bdb5cb0776bd097331e5a
2025-09-08,retrofunding_s8_devtooling,Velodrome Finance,362.57,271.9275,velodrome,https://atlas.optimism.io/project/0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd
2025-09-08,retrofunding_s8_devtooling,Viem: TypeScript Interface for Ethereum,25000.0,18750.0,wevm,https://atlas.optimism.io/project/0x6bd057da522918a4675396313ae33a2f2788a1ceeb3bd7ae228015e3eb317a7d
2025-09-08,retrofunding_s8_devtooling,Vscode Solidity Extension,476.46,357.345,vscode-solidity,https://atlas.optimism.io/project/0x819775803938d78eaa95809971ce94cae6a54b4df58505fa36153ffa1d55e12c
