Address,Has voted,Has published,Published at,Created at,Updated at,Projects in ballot,Votes
5R3d7IeoAB,True,False,,2023-11-06 10:51:07,2023-11-13 09:28:20,,[]
K66AqbQbXq,False,False,,2023-10-30 22:32:19,2023-11-14 00:08:19,,[]
l6UWM6Bf4X,True,True,2023-11-02 18:36:08,2023-10-24 21:11:07,2023-11-08 13:11:34,240.0,"[{'amount': '644777', 'projectId': 'proj274'}, {'amount': '108047', 'projectId': 'proj382'}]"
vWgy70oDLH,False,False,,2023-09-05 00:10:01,2023-10-21 02:55:52,,[]
JEkkCBV3nk,True,False,,2023-09-19 13:30:58,2023-09-30 02:28:27,,[]
tdj39p1Ps9,False,False,,2023-11-10 16:31:32,2023-11-14 09:46:03,,[]
pw6zFeJr2q,True,False,,2023-10-08 12:11:31,2023-10-14 15:47:57,,[]
tTthU9Qvei,True,True,2023-11-25 14:48:55,2023-11-24 14:27:22,2023-11-26 23:59:03,277.0,"[{'amount': '527020', 'projectId': 'proj375'}, {'amount': '869706', 'projectId': 'proj17'}, {'amount': '210324', 'projectId': 'proj56'}, {'amount': '634538', 'projectId': 'proj161'}, {'amount': '171053', 'projectId': 'proj42'}, {'amount': '913540', 'projectId': 'proj90'}, {'amount': '88517', 'projectId': 'proj270'}, {'amount': '16811', 'projectId': 'proj97'}, {'amount': '78532', 'projectId': 'proj493'}, {'amount': '182806', 'projectId': 'proj69'}, {'amount': '284989', 'projectId': 'proj368'}, {'amount': '130684', 'projectId': 'proj303'}, {'amount': '128844', 'projectId': 'proj10'}, {'amount': '209527', 'projectId': 'proj419'}]"
22XHmdOVT4,True,True,2023-11-21 15:06:16,2023-11-13 19:41:43,2023-11-26 01:06:20,350.0,"[{'amount': '847624', 'projectId': 'proj35'}, {'amount': '829582', 'projectId': 'proj314'}, {'amount': '62773', 'projectId': 'proj113'}, {'amount': '599183', 'projectId': 'proj377'}, {'amount': '256102', 'projectId': 'proj3'}, {'amount': '57763', 'projectId': 'proj219'}, {'amount': '264245', 'projectId': 'proj410'}, {'amount': '387342', 'projectId': 'proj160'}, {'amount': '694521', 'projectId': 'proj278'}, {'amount': '797471', 'projectId': 'proj368'}, {'amount': '546098', 'projectId': 'proj447'}, {'amount': '6995', 'projectId': 'proj172'}, {'amount': '116026', 'projectId': 'proj327'}]"
UKZPdMPQuD,True,False,,2023-11-16 01:50:59,2023-11-19 17:30:47,,[]
ZXmpGWbnPX,True,False,,2023-10-20 22:04:42,2023-11-13 20:14:36,,[]
CKS1IuQO9o,True,False,,2023-11-10 05:46:14,2023-11-19 17:08:32,,[]
hlgOB4T6iU,False,False,,2023-09-14 21:11:20,2023-11-29 12:26:00,,[]
wGRNZwE5rV,False,True,2023-10-09 19:11:37,2023-10-07 10:23:08,2023-11-22 17:20:03,184.0,"[{'amount': '575003', 'projectId': 'proj431'}, {'amount': '917908', 'projectId': 'proj420'}, {'amount': '191488', 'projectId': 'proj376'}, {'amount': '324865', 'projectId': 'proj16'}, {'amount': '980231', 'projectId': 'proj24'}, {'amount': '249655', 'projectId': 'proj19'}, {'amount': '436940', 'projectId': 'proj219'}, {'amount': '898666', 'projectId': 'proj388'}, {'amount': '590624', 'projectId': 'proj489'}, {'amount': '157514', 'projectId': 'proj387'}, {'amount': '423566', 'projectId': 'proj150'}]"
a7HzCwVnsr,False,True,2023-10-30 23:19:45,2023-09-25 23:29:23,2023-11-01 09:03:03,6.0,"[{'amount': '576984', 'projectId': 'proj250'}, {'amount': '483869', 'projectId': 'proj208'}, {'amount': '4524', 'projectId': 'proj293'}, {'amount': '1339', 'projectId': 'proj197'}, {'amount': '784152', 'projectId': 'proj121'}, {'amount': '380527', 'projectId': 'proj244'}, {'amount': '362919', 'projectId': 'proj296'}, {'amount': '389638', 'projectId': 'proj246'}, {'amount': '138070', 'projectId': 'proj340'}, {'amount': '964468', 'projectId': 'proj27'}, {'amount': '177900', 'projectId': 'proj322'}, {'amount': '909581', 'projectId': 'proj403'}, {'amount': '883860', 'projectId': 'proj137'}, {'amount': '685423', 'projectId': 'proj111'}, {'amount': '124142', 'projectId': 'proj333'}, {'amount': '617965', 'projectId': 'proj173'}, {'amount': '799469', 'projectId': 'proj10'}, {'amount': '92537', 'projectId': 'proj266'}]"
cgoIWll9TR,False,True,2023-10-23 18:05:32,2023-10-23 08:04:29,2023-11-05 18:02:47,234.0,"[{'amount': '263908', 'projectId': 'proj346'}, {'amount': '911759', 'projectId': 'proj464'}, {'amount': '184022', 'projectId': 'proj69'}, {'amount': '845132', 'projectId': 'proj295'}, {'amount': '962988', 'projectId': 'proj102'}, {'amount': '748719', 'projectId': 'proj212'}, {'amount': '897857', 'projectId': 'proj345'}, {'amount': '18426', 'projectId': 'proj82'}]"
wHyKOotTPf,True,False,,2023-09-18 14:14:17,2023-09-30 10:58:20,,[]
YMxMpNh11K,True,False,,2023-10-12 09:55:29,2023-11-19 16:43:21,,[]
V3SSJ4ctcg,False,False,,2023-10-02 13:34:42,2023-10-24 17:01:16,,[]
HyldYgT6VM,True,True,2023-11-09 06:14:07,2023-10-26 21:10:43,2023-11-09 22:39:27,126.0,"[{'amount': '320060', 'projectId': 'proj7'}, {'amount': '300470', 'projectId': 'proj440'}, {'amount': '564180', 'projectId': 'proj339'}, {'amount': '679217', 'projectId': 'proj330'}]"
qOb4jgVP6s,False,True,2023-11-02 03:44:15,2023-11-01 08:31:14,2023-11-05 16:20:52,280.0,"[{'amount': '942303', 'projectId': 'proj404'}, {'amount': '789967', 'projectId': 'proj383'}, {'amount': '134922', 'projectId': 'proj468'}, {'amount': '67836', 'projectId': 'proj109'}, {'amount': '748627', 'projectId': 'proj380'}, {'amount': '214871', 'projectId': 'proj276'}, {'amount': '208743', 'projectId': 'proj352'}, {'amount': '615663', 'projectId': 'proj114'}, {'amount': '911828', 'projectId': 'proj152'}, {'amount': '81395', 'projectId': 'proj221'}, {'amount': '7955', 'projectId': 'proj34'}]"
