mapping_type,identifier_type,identifier_value,source_filter,target_field,new_value,conditions,description,enabled
chain_id_override,chain_id,1234,,chain_id,NULL,,Override chain_id 1234 to NULL,false
chain_id_override,slug,molten,,chain_id,NULL,,Override chain_id for slug 'molten' to NULL,false
chain_id_suffix,chain_name,celol2,,chain_id,-l2,,Add -l2 suffix to chain_id for chain_name 'celol2',false
chain_id_suffix,chain_id,5678,,chain_id,-test,,Add -test suffix to chain_id 5678,false
display_name_preference,display_name,arbitrum,,display_name,Arbitrum One,,Prefer 'Arbitrum One' for display_name 'arbitrum',false
display_name_preference,display_name,optimism,,display_name,OP Mainnet,,Prefer 'OP Mainnet' for display_name 'optimism',false
field_override,chain_name,kardia,,chain_id,24,,Override chain_id for chain_name 'kardia' to 24,false
field_override,display_name,Polygon PoS,,provider,Polygon,,Override provider for display_name 'Polygon PoS',false
field_override,display_name,Polygon PoS,,provider_entity,Polygon: CDK,,Override provider_entity for display_name 'Polygon PoS',false
field_override,source_name,op_labs,,is_evm,true,,Override is_evm for source_name 'op_labs' to true,false
source_filter,chain_name,arbitrum,op_labs,display_name,Arbitrum One,,Apply only for source 'op_labs' and chain_name 'arbitrum',false
conditional_transform,chain_name,celo,,chain_id,-l2,layer=L2,Add -l2 suffix to chain_id for chain_name 'celo' when layer is L2,false
conditional_transform,display_name,Polygon PoS,,provider,Polygon,layer=L2,Override provider for Polygon PoS only when layer is L2,false
field_override,slug,example_slug,,display_name,Example Chain,,Override display_name for slug 'example_slug',false
field_override,chain_id,9999,,display_name,Test Chain,,Override display_name for chain_id 9999,false 
