wallet,wallet_label,token,token_symbol,balance,decimals,balance_formatted
0x73Ab0B6EBE3CeCf8d58016a1dd7F1749d8d4A1D6,OP,0x4200000000000000000000000000000000000042,OP,2611180655820333333330342,18,2611180.6558203334
0x73Ab0B6EBE3CeCf8d58016a1dd7F1749d8d4A1D6,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x1b118d8a45020cdb61e05311f25A84207aF07A7f,OP,0x4200000000000000000000000000000000000042,OP,1000000000000000000,18,1.0
0x1b118d8a45020cdb61e05311f25A84207aF07A7f,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0xe80519596014E0D02C34ceEE1f76e10DF5e0B07e,OP,0x4200000000000000000000000000000000000042,OP,1594113275196177512215,18,1594.1132751961775
0xe80519596014E0D02C34ceEE1f76e10DF5e0B07e,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x19793c7824Be70ec58BB673CA42D2779d12581BE,OP,0x4200000000000000000000000000000000000042,OP,6375225623941451003154751,18,6375225.623941451
0x19793c7824Be70ec58BB673CA42D2779d12581BE,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x2501c477D0A35545a387Aa4A3EEe4292A9a8B3F0,OP,0x4200000000000000000000000000000000000042,OP,615246185583763154082811505,18,615246185.5837631
0x2501c477D0A35545a387Aa4A3EEe4292A9a8B3F0,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x2C161bc20D0017291949e6bd1bd743A8b7497c2E,OP,0x4200000000000000000000000000000000000042,OP,0,18,
0x2C161bc20D0017291949e6bd1bd743A8b7497c2E,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x28d8F667c2358392861d56b1e5E3DBE76b857C19,OP,0x4200000000000000000000000000000000000042,OP,3657856443763892373146126,18,3657856.443763892
0x28d8F667c2358392861d56b1e5E3DBE76b857C19,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x41BF11E307426c750B84A160891d09A2751CbAA5,OP,0x4200000000000000000000000000000000000042,OP,0,18,
0x41BF11E307426c750B84A160891d09A2751CbAA5,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,845347234085142808612916,18,845347.2340851428
0x1124226fb1c063186Ebe1ad4EEea9CFd2B33cC94,OP,0x4200000000000000000000000000000000000042,OP,0,18,
0x1124226fb1c063186Ebe1ad4EEea9CFd2B33cC94,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x8b8B2F214D92527BF1b1148DC2e609a4C1c2Fd69,OP,0x4200000000000000000000000000000000000042,OP,10229214926323507597702949,18,10229214.926323507
0x8b8B2F214D92527BF1b1148DC2e609a4C1c2Fd69,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x2A82Ae142b2e62Cb7D10b55E323ACB1Cab663a26,OP,0x4200000000000000000000000000000000000042,OP,1294044371320286807123702580,18,1294044371.3202868
0x2A82Ae142b2e62Cb7D10b55E323ACB1Cab663a26,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x44A2CaD21c3FC84652C7675d8cdB2e871BC06cf4,OP,0x4200000000000000000000000000000000000042,OP,4350781140000000000000000,18,4350781.14
0x44A2CaD21c3FC84652C7675d8cdB2e871BC06cf4,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0xC68f72d6b90cA1cf8DfC7fde6c4d452b309d86BB,OP,0x4200000000000000000000000000000000000042,OP,6519744198102806454,18,6.519744198102806
0xC68f72d6b90cA1cf8DfC7fde6c4d452b309d86BB,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,1731455020790287863643579,18,1731455.0207902878
0x19bfa9Ce88fc1758699587b135bBE0ec35b927c6,OP,0x4200000000000000000000000000000000000042,OP,1000000000000000000,18,1.0
0x19bfa9Ce88fc1758699587b135bBE0ec35b927c6,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x30F8C9274bE0e35b5452f929A769869d4186Ebe5,OP,0x4200000000000000000000000000000000000042,OP,1000000000000000000,18,1.0
0x30F8C9274bE0e35b5452f929A769869d4186Ebe5,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x9d6AaABAF551f45d445d0cC4b6D724edf588C4b7,OP,0x4200000000000000000000000000000000000042,OP,0,18,
0x9d6AaABAF551f45d445d0cC4b6D724edf588C4b7,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,1962282991355815721884812,18,1962282.9913558157
0xE2Ed962948005AB01F2cEfE8326a0730B7D268af,OP,0x4200000000000000000000000000000000000042,OP,0,18,
0xE2Ed962948005AB01F2cEfE8326a0730B7D268af,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,499528878803450902827989,18,499528.8788034509
0x713537Ea389AaC3699015ee1192D2381cc0aE17c,OP,0x4200000000000000000000000000000000000042,OP,5000000000000000000000000,18,5000000.0
0x713537Ea389AaC3699015ee1192D2381cc0aE17c,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0xaA4971219F14DeA19d4B43D54AAf3Eb1DdF332fB,OP,0x4200000000000000000000000000000000000042,OP,130000000000000000000000,18,130000.0
0xaA4971219F14DeA19d4B43D54AAf3Eb1DdF332fB,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,88456932581710513357654,18,88456.93258171051
0x16278532f7307E8BF98fBB432DD242792F475B7a,OP,0x4200000000000000000000000000000000000042,OP,8000000000000000000000000,18,8000000.0
0x16278532f7307E8BF98fBB432DD242792F475B7a,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x823557699A455F3c2C6f964017880f3f3a6583Ac,OP,0x4200000000000000000000000000000000000042,OP,0,18,
0x823557699A455F3c2C6f964017880f3f3a6583Ac,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,1833425156872532482461347,18,1833425.1568725326
0xA2928CC2D210bC42d8ffe5Ad8b1314E872F5fb54,OP,0x4200000000000000000000000000000000000042,OP,0,18,
0xA2928CC2D210bC42d8ffe5Ad8b1314E872F5fb54,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,1446170017080249663728415,18,1446170.0170802497
0xd8b4b6Fd096AABECdd3d063B29273a387cc1409f,OP,0x4200000000000000000000000000000000000042,OP,0,18,
0xd8b4b6Fd096AABECdd3d063B29273a387cc1409f,OP,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x59a92664eEDae0Be153EA93E3F9604c14b55dc8D,locked,0x4200000000000000000000000000000000000042,OP,0,18,
0x59a92664eEDae0Be153EA93E3F9604c14b55dc8D,locked,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x23b87Ce550C27e69a2DF1CA74Fa2857aC118e408,locked,0x4200000000000000000000000000000000000042,OP,0,18,
0x23b87Ce550C27e69a2DF1CA74Fa2857aC118e408,locked,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x93dcd773Eb0301bD555fc5b0BD7bB5ca5F22FCE5,locked,0x4200000000000000000000000000000000000042,OP,0,18,
0x93dcd773Eb0301bD555fc5b0BD7bB5ca5F22FCE5,locked,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0xAF63FdB2ac19C97f9312a0891Ae55e2f55e9d19E,locked,0x4200000000000000000000000000000000000042,OP,0,18,
0xAF63FdB2ac19C97f9312a0891Ae55e2f55e9d19E,locked,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0xAC6f8Aa1416c67DFFfd4aDED0f659f14BA4572cf,locked,0x4200000000000000000000000000000000000042,OP,0,18,
0xAC6f8Aa1416c67DFFfd4aDED0f659f14BA4572cf,locked,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
0x1CC505f78C83f65636c5A4227ed0C0D9307eA55b,locked,0x4200000000000000000000000000000000000042,OP,0,18,
0x1CC505f78C83f65636c5A4227ed0C0D9307eA55b,locked,0x1828Bff08BD244F7990edDCd9B19cc654b33cDB4,OPx,0,18,
