date,protocol,chain,usd_value,name,category,parent_protocol,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,daily_avg_tvl_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_3d,daily_avg_tvl_3d,flow_direction_3d,abs_cumul_net_dollar_flow_3d,cumul_net_dollar_flow_7d,daily_avg_tvl_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_14d,daily_avg_tvl_14d,flow_direction_14d,abs_cumul_net_dollar_flow_14d,cumul_net_dollar_flow_30d,daily_avg_tvl_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,daily_avg_tvl_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,daily_avg_tvl_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,daily_avg_tvl_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
2024-07-03,wing-finance,OntologyEVM,0.0,Wing Finance,Lending,Wing Finance,-118529.79998,-118529.79998,1,1,-333980.1916277507,-1,333980.1916277507,-118529.79998,0.0,-1,118529.79998,-116723.4229,78712.64405666666,-1,116723.4229,-117885.71765,100617.96156857142,-1,117885.71765,-119058.05217,109634.54272214285,-1,119058.05217,-126904.66184,117799.43074833335,-1,126904.66184,-124339.47846,122254.85633411111,-1,124339.47846,-105336.8417,118883.81882383332,-1,105336.8417,-333980.1916277507,109345.98189307479,-1,333980.1916277507,-inf
2024-07-04,superstate,Ethereum,0.0,Superstate,RWA,Superstate,-102567313.27278,-102567313.27278,1,1,-38339565.06386,-1,38339565.06386,-102567313.27278,0.0,-1,102567313.27278,0.0,68373198.53865667,1,0.0,-128962126.81711,81372921.92152286,-1,128962126.81711,-133848234.95112999,77868333.63107714,-1,133848234.95112999,-115536924.919,89406747.120958,-1,115536924.919,-38339565.06386,72280827.34166692,-1,38339565.06386,-38339565.06386,72280827.34166692,-1,38339565.06386,-38339565.06386,72280827.34166692,-1,38339565.06386,-inf
2024-07-05,stargate-v2,Aurora,0.0,Stargate V2,Cross Chain,parent#stargate-finance,-994709.0177,-994709.0177,1,1,-868807.83999,-1,868807.83999,-994709.0177,0.0,-1,994709.0177,-868807.83999,662199.2895333333,-1,868807.83999,-868807.83999,662199.2895333333,-1,868807.83999,-868807.83999,662199.2895333333,-1,868807.83999,-868807.83999,662199.2895333333,-1,868807.83999,-868807.83999,662199.2895333333,-1,868807.83999,-868807.83999,662199.2895333333,-1,868807.83999,-868807.83999,662199.2895333333,-1,868807.83999,-inf
2024-07-08,quarry,Solana,15675667.55598,Quarry,Yield,Quarry,-27425.22385891739,-27425.22385891739,1,1,-59849552.16813382,-1,59849552.16813382,-27425.22385891739,15675667.55598,-1,27425.22385891739,-134583.18074020138,15868680.777463334,-1,134583.18074020138,-124796.16621207868,16233035.58009143,-1,124796.16621207868,-269923.52417126746,16239689.00697357,-1,269923.52417126746,-1509384.5998970673,17028928.25279733,-1,1509384.5998970673,2379969.8127273438,15768538.01773311,1,2379969.8127273438,-2741939.2161655314,15794303.445365222,-1,2741939.2161655314,-59690844.13909365,13841353.04995581,-1,59690844.13909365,-0.17495410489523383
2024-07-08,quickswap-dex,Polygon,37634200.26777,Quickswap Dex,Dexes,parent#quickswap,-975429.4902250846,-975429.4902250846,1,1,-33317351.98538383,-1,33317351.98538383,-975429.4902250846,37634200.26777,-1,975429.4902250846,-4187895.1984264837,37960888.35544,-1,4187895.1984264837,-7154133.754947398,41200040.71403571,-1,7154133.754947398,-7698795.771776275,43051153.80719143,-1,7698795.771776275,-16354211.5093139,44306038.041504666,-1,16354211.5093139,-27025099.297343202,51490499.46621322,-1,27025099.297343202,-20503135.79059522,56593546.67310523,-1,20503135.79059522,-33317351.98538383,57011218.17914249,-1,33317351.98538383,-2.5918698505211606
2024-07-08,quickswap-v3,Astar zkEVM,4431329.38585,Quickswap V3,Dexes,parent#quickswap,-1007.9008753438225,-1007.9008753438225,1,1,4547557.494706414,1,4547557.494706414,-1007.9008753438225,4431329.38585,-1,1007.9008753438225,678605.9989366801,4497449.353340001,1,678605.9989366801,666430.2361717641,4280554.57436,1,666430.2361717641,664357.8405864444,4321645.576055714,1,664357.8405864444,568734.7728519697,4613947.558758,1,568734.7728519697,468840.32330918615,5123477.029054555,1,468840.32330918615,4547557.494706414,5098594.847468739,1,4547557.494706414,4547557.494706414,5098594.847468739,1,4547557.494706414,-0.022744887314452948
2024-07-08,quickswap-v3,Dogechain,770901.82263,Quickswap V3,Dexes,parent#quickswap,2.014511147536723,2.014511147536723,1,1,-415767.96053569723,-1,415767.96053569723,2.014511147536723,770901.82263,1,2.014511147536723,3630.808276073531,785123.6696799999,1,3630.808276073531,-33772.989413268544,835333.3924542858,-1,33772.989413268544,-37244.12732704304,873888.699795,-1,37244.12732704304,-40017.16552566717,965401.3560216667,-1,40017.16552566717,-50062.64343374826,1217459.1956574444,-1,50062.64343374826,-163604.6884305334,1288602.368648889,-1,163604.6884305334,-415767.96053569723,1152097.1632029884,-1,415767.96053569723,0.00026131876827895404
2024-07-08,quickswap-v3,X Layer,3129488.5184400002,Quickswap V3,Dexes,parent#quickswap,283.5880497027538,283.5880497027538,1,1,2832689.8487643935,1,2832689.8487643935,283.5880497027538,3129488.5184400002,1,283.5880497027538,-178518.17198164586,3145125.475843334,-1,178518.17198164586,-184112.8668412816,3361243.402437143,-1,184112.8668412816,-177547.22558976177,3452261.1280407147,-1,177547.22558976177,576618.7452126974,3479739.3851913335,1,576618.7452126974,2832689.8487643935,2000656.7769367567,1,2832689.8487643935,2832689.8487643935,2000656.7769367567,1,2832689.8487643935,2832689.8487643935,2000656.7769367567,1,2832689.8487643935,0.009061801889725989
2024-07-08,quickswap-v3,Manta,4629865.639599999,Quickswap V3,Dexes,parent#quickswap,-57092.72471047501,-57092.72471047501,1,1,3566843.6777368584,1,3566843.6777368584,-57092.72471047501,4629865.639599999,-1,57092.72471047501,-13284.472392680284,4688222.686959999,-1,13284.472392680284,114508.19416150525,4755923.090985714,1,114508.19416150525,76467.7634305144,4762709.30939,1,76467.7634305144,-19434.305928611153,4867873.822858,-1,19434.305928611153,-1592675.358149418,5168231.028899222,-1,1592675.358149418,-14171738.634013152,10629939.186990611,-1,14171738.634013152,3566843.6777368584,10717151.192866214,1,3566843.6777368584,-1.233139990546412
2024-07-08,quickswap-v3,Polygon,24823854.886970002,Quickswap V3,Dexes,parent#quickswap,-88036.43084334573,-88036.43084334573,1,1,-11337802.762723757,-1,11337802.762723757,-88036.43084334573,24823854.886970002,-1,88036.43084334573,-108727.95322658477,25058199.860313337,-1,108727.95322658477,-720843.0756255432,26370380.956371427,-1,720843.0756255432,-1576554.4023902311,27250262.38691786,-1,1576554.4023902311,-4061237.235982118,29756144.858305335,-1,4061237.235982118,-8607157.977421599,34933966.21132012,-1,8607157.977421599,-9661360.693332845,37462857.11525978,-1,9661360.693332845,-11171077.15183292,39137163.66361918,-1,11171077.15183292,-0.35464447904727275
